valid,category,pass,pipeline,returncode,stderr
1,module,always-inline,always-inline,0,
1,module,annotation2metadata,annotation2metadata,0,
1,module,assign-guid,assign-guid,0,
1,module,attributor-light,attributor-light,0,
1,module,called-value-propagation,called-value-propagation,0,
1,module,canonicalize-aliases,canonicalize-aliases,0,
1,module,constmerge,constmerge,0,
1,module,coro-cleanup,coro-cleanup,0,
1,module,coro-early,coro-early,0,
1,module,cross-dso-cfi,cross-dso-cfi,0,
1,module,ctx-prof-flatten,ctx-prof-flatten,0,
1,module,noinline-nonprevailing,noinline-nonprevailing,0,
1,module,deadargelim,deadargelim,0,
1,module,declare-runtime-libcalls,declare-runtime-libcalls,0,
1,module,dxil-upgrade,dxil-upgrade,0,
1,module,elim-avail-extern,elim-avail-extern,0,
1,module,extract-blocks,extract-blocks,0,
1,module,expand-variadics,expand-variadics,0,
1,module,forceattrs,forceattrs,0,
1,module,global-merge-func,global-merge-func,0,
1,module,globalopt,globalopt,0,
1,module,globalsplit,globalsplit,0,
1,module,hipstdpar-interpose-alloc,hipstdpar-interpose-alloc,0,
1,module,hipstdpar-math-fixup,hipstdpar-math-fixup,0,
1,module,hipstdpar-select-accelerator-code,hipstdpar-select-accelerator-code,0,
1,module,hotcoldsplit,hotcoldsplit,0,
1,module,inferattrs,inferattrs,0,
1,module,inliner-wrapper,inliner-wrapper,0,
1,module,inliner-wrapper-no-mandatory-first,inliner-wrapper-no-mandatory-first,0,
1,module,jmc-instrumenter,jmc-instrumenter,0,
1,module,lower-emutls,lower-emutls,0,
1,module,lower-global-dtors,lower-global-dtors,0,
1,module,lower-ifunc,lower-ifunc,0,
1,module,simplify-type-tests,simplify-type-tests,0,
1,module,lowertypetests,lowertypetests,0,
1,module,fatlto-cleanup,fatlto-cleanup,0,
1,module,mergefunc,mergefunc,0,
1,module,metarenamer,metarenamer,0,
1,module,module-inline,module-inline,0,
1,module,name-anon-globals,name-anon-globals,0,
1,module,openmp-opt,openmp-opt,0,
1,module,openmp-opt-postlink,openmp-opt-postlink,0,
1,module,partial-inliner,partial-inliner,0,
1,module,pre-isel-intrinsic-lowering,pre-isel-intrinsic-lowering,0,
1,module,recompute-globalsaa,recompute-globalsaa,0,
1,module,rel-lookup-table-converter,rel-lookup-table-converter,0,
1,module,rewrite-statepoints-for-gc,rewrite-statepoints-for-gc,0,
1,module,rewrite-symbols,rewrite-symbols,0,
1,module,rpo-function-attrs,rpo-function-attrs,0,
1,module,scc-oz-module-inliner,scc-oz-module-inliner,0,
1,module,shadow-stack-gc-lowering,shadow-stack-gc-lowering,0,
1,module,strip,strip,0,
1,module,strip-dead-debug-info,strip-dead-debug-info,0,
1,module,strip-dead-prototypes,strip-dead-prototypes,0,
1,module,strip-debug-declare,strip-debug-declare,0,
1,module,strip-nondebug,strip-nondebug,0,
1,module,strip-nonlinetable-debuginfo,strip-nonlinetable-debuginfo,0,
1,module,strip-dead-cg-profile,strip-dead-cg-profile,0,
1,module,wholeprogramdevirt,wholeprogramdevirt,0,
1,module,cg-profile,cg-profile,0,
1,module,global-merge,global-merge,0,
1,module,embed-bitcode,embed-bitcode,0,
1,module,globaldce,globaldce,0,
1,module,internalize,internalize,0,
1,module,ipsccp,ipsccp,0,
1,module,loop-extract,loop-extract,0,
1,cgscc,argpromotion,cgscc(argpromotion),0,
1,cgscc,attributor-light-cgscc,cgscc(attributor-light-cgscc),0,
1,cgscc,openmp-opt-cgscc,cgscc(openmp-opt-cgscc),0,
1,cgscc,coro-annotation-elide,cgscc(coro-annotation-elide),0,
1,cgscc,coro-split,cgscc(coro-split),0,
1,cgscc,function-attrs,cgscc(function-attrs),0,
1,cgscc,inline,cgscc(inline),0,
1,function,adce,function(adce),0,
1,function,add-discriminators,function(add-discriminators),0,
1,function,aggressive-instcombine,function(aggressive-instcombine),0,
1,function,alignment-from-assumptions,function(alignment-from-assumptions),0,
1,function,annotation-remarks,function(annotation-remarks),0,
1,function,assume-builder,function(assume-builder),0,
1,function,assume-simplify,function(assume-simplify),0,
1,function,atomic-expand,function(atomic-expand),0,
1,function,bdce,function(bdce),0,
1,function,break-crit-edges,function(break-crit-edges),0,
1,function,callbr-prepare,function(callbr-prepare),0,
1,function,callsite-splitting,function(callsite-splitting),0,
1,function,chr,function(chr),0,
1,function,complex-deinterleaving,function(complex-deinterleaving),0,
1,function,consthoist,function(consthoist),0,
1,function,constraint-elimination,function(constraint-elimination),0,
1,function,coro-elide,function(coro-elide),0,
1,function,correlated-propagation,function(correlated-propagation),0,
1,function,dce,function(dce),0,
1,function,declare-to-assign,function(declare-to-assign),0,
1,function,dfa-jump-threading,function(dfa-jump-threading),0,
1,function,div-rem-pairs,function(div-rem-pairs),0,
1,function,dse,function(dse),0,
1,function,dwarf-eh-prepare,function(dwarf-eh-prepare),0,
1,function,expand-large-div-rem,function(expand-large-div-rem),0,
1,function,expand-memcmp,function(expand-memcmp),0,
1,function,expand-reductions,function(expand-reductions),0,
1,function,extra-vector-passes,function(extra-vector-passes),0,
1,function,fix-irreducible,function(fix-irreducible),0,
1,function,flatten-cfg,function(flatten-cfg),0,
1,function,float2int,function(float2int),0,
1,function,gc-lowering,function(gc-lowering),0,
1,function,guard-widening,function(guard-widening),0,
1,function,gvn-hoist,function(gvn-hoist),0,
1,function,gvn-sink,function(gvn-sink),0,
1,function,indirectbr-expand,function(indirectbr-expand),0,
1,function,infer-address-spaces,function(infer-address-spaces),0,
1,function,infer-alignment,function(infer-alignment),0,
1,function,inject-tli-mappings,function(inject-tli-mappings),0,
1,function,instnamer,function(instnamer),0,
1,function,instsimplify,function(instsimplify),0,
1,function,interleaved-access,function(interleaved-access),0,
1,function,interleaved-load-combine,function(interleaved-load-combine),0,
1,function,irce,function(irce),0,
1,function,jump-threading,function(jump-threading),0,
1,function,jump-table-to-switch,function(jump-table-to-switch),0,
1,function,kcfi,function(kcfi),0,
1,function,kernel-info,function(kernel-info),0,
1,function,lcssa,function(lcssa),0,
1,function,libcalls-shrinkwrap,function(libcalls-shrinkwrap),0,
1,function,load-store-vectorizer,function(load-store-vectorizer),0,
1,function,loop-data-prefetch,function(loop-data-prefetch),0,
1,function,loop-distribute,function(loop-distribute),0,
1,function,loop-load-elim,function(loop-load-elim),0,
1,function,loop-simplify,function(loop-simplify),0,
1,function,loop-sink,function(loop-sink),0,
1,function,loop-versioning,function(loop-versioning),0,
1,function,lower-atomic,function(lower-atomic),0,
1,function,lower-constant-intrinsics,function(lower-constant-intrinsics),0,
1,function,lower-expect,function(lower-expect),0,
1,function,lower-guard-intrinsic,function(lower-guard-intrinsic),0,
1,function,lower-invoke,function(lower-invoke),0,
1,function,lower-switch,function(lower-switch),0,
1,function,lower-widenable-condition,function(lower-widenable-condition),0,
1,function,make-guards-explicit,function(make-guards-explicit),0,
1,function,mem2reg,function(mem2reg),0,
1,function,memcpyopt,function(memcpyopt),0,
1,function,mergeicmps,function(mergeicmps),0,
1,function,mergereturn,function(mergereturn),0,
1,function,move-auto-init,function(move-auto-init),0,
1,function,nary-reassociate,function(nary-reassociate),0,
1,function,newgvn,function(newgvn),0,
1,function,objc-arc,function(objc-arc),0,
1,function,objc-arc-contract,function(objc-arc-contract),0,
1,function,objc-arc-expand,function(objc-arc-expand),0,
1,function,partially-inline-libcalls,function(partially-inline-libcalls),0,
1,function,place-safepoints,function(place-safepoints),0,
1,function,prof-inject,function(prof-inject),0,
1,function,reassociate,function(reassociate),0,
1,function,redundant-dbg-inst-elim,function(redundant-dbg-inst-elim),0,
1,function,replace-with-veclib,function(replace-with-veclib),0,
1,function,reg2mem,function(reg2mem),0,
1,function,safe-stack,function(safe-stack),0,
1,function,sandbox-vectorizer,function(sandbox-vectorizer),0,
1,function,scalarize-masked-mem-intrin,function(scalarize-masked-mem-intrin),0,
1,function,sccp,function(sccp),0,
1,function,separate-const-offset-from-gep,function(separate-const-offset-from-gep),0,
1,function,sink,function(sink),0,
1,function,sjlj-eh-prepare,function(sjlj-eh-prepare),0,
1,function,slp-vectorizer,function(slp-vectorizer),0,
1,function,slsr,function(slsr),0,
1,function,stack-protector,function(stack-protector),0,
