filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,mergefunc,extract-blocks,0.001449553,0.001394684,0.037852375,"module(mergefunc,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,metarenamer,extract-blocks,0.001449553,0.001410681,0.026816360,"module(metarenamer,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,rel-lookup-table-converter,extract-blocks,0.001449553,0.001428024,0.014852099,"module(rel-lookup-table-converter,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,rewrite-symbols,extract-blocks,0.001449553,0.001434090,0.010667446,"module(rewrite-symbols,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,strip,extract-blocks,0.001449553,0.001417423,0.022165677,"module(strip,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,strip-dead-debug-info,extract-blocks,0.001449553,0.001423827,0.017747352,"module(strip-dead-debug-info,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,strip-nonlinetable-debuginfo,extract-blocks,0.001449553,0.001430997,0.012801116,"module(strip-nonlinetable-debuginfo,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,strip-dead-cg-profile,extract-blocks,0.001449553,0.001417704,0.021971579,"module(strip-dead-cg-profile,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,globaldce,extract-blocks,0.001449553,0.001406251,0.029872490,"module(globaldce,extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,cgscc(function-attrs),extract-blocks,0.001449553,0.001419077,0.021024251,"module(cgscc(function-attrs),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,cgscc(inline),extract-blocks,0.001449553,0.001422036,0.018983502,"module(cgscc(inline),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(adce),extract-blocks,0.001449553,0.001424792,0.017081878,"module(function(adce),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(aggressive-instcombine),extract-blocks,0.001449553,0.001423206,0.018176077,"module(function(aggressive-instcombine),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(bdce),extract-blocks,0.001449553,0.001380541,0.047609385,"module(function(bdce),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(inject-tli-mappings),extract-blocks,0.001449553,0.001407937,0.028709682,"module(function(inject-tli-mappings),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(instnamer),extract-blocks,0.001449553,0.001413060,0.025175204,"module(function(instnamer),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(interleaved-access),extract-blocks,0.001449553,0.001412980,0.025230675,"module(function(interleaved-access),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(jump-table-to-switch),extract-blocks,0.001449553,0.001413290,0.025016704,"module(function(jump-table-to-switch),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(lower-invoke),extract-blocks,0.001449553,0.001429477,0.013850006,"module(function(lower-invoke),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(loop-unroll),extract-blocks,0.001449553,0.001433942,0.010769711,"module(function(loop-unroll),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(bounds-checking),extract-blocks,0.001449553,0.001432090,0.012047082,"module(function(bounds-checking),extract-blocks)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,inferattrs,expand-variadics,0.001447662,0.001397239,0.034830774,"module(inferattrs,expand-variadics)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,openmp-opt,expand-variadics,0.001447662,0.001397391,0.034725645,"module(openmp-opt,expand-variadics)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,strip-debug-declare,expand-variadics,0.001447662,0.001432108,0.010743935,"module(strip-debug-declare,expand-variadics)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,global-merge,expand-variadics,0.001447662,0.001423129,0.016946427,"module(global-merge,expand-variadics)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(coro-elide),expand-variadics,0.001447662,0.001409715,0.026212480,"module(function(coro-elide),expand-variadics)"
libcxx_algorithms_alg.c.library_tested_elsewhere.pass_-O2.ll,0.001493951,function(declare-to-assign),expand-variadics,0.001447662,0.001414264,0.023070369,"module(function(declare-to-assign),expand-variadics)"
