filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,assign-guid,annotation2metadata,0.001528973,0.001463560,0.042782318,"module(assign-guid,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,coro-cleanup,annotation2metadata,0.001528973,0.001512293,0.010908753,"module(coro-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,declare-runtime-libcalls,annotation2metadata,0.001528973,0.001513679,0.010002308,"module(declare-runtime-libcalls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,expand-variadics,annotation2metadata,0.001528973,0.001489662,0.025710527,"module(expand-variadics,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,forceattrs,annotation2metadata,0.001528973,0.001498066,0.020213843,"module(forceattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,globalopt,annotation2metadata,0.001528973,0.001505911,0.015082898,"module(globalopt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,inliner-wrapper-no-mandatory-first,annotation2metadata,0.001528973,0.001511321,0.011544755,"module(inliner-wrapper-no-mandatory-first,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,jmc-instrumenter,annotation2metadata,0.001528973,0.001496568,0.021193581,"module(jmc-instrumenter,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,mergefunc,annotation2metadata,0.001528973,0.001498108,0.020186207,"module(mergefunc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,openmp-opt,annotation2metadata,0.001528973,0.001512141,0.011008467,"module(openmp-opt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,openmp-opt-postlink,annotation2metadata,0.001528973,0.001472118,0.037184619,"module(openmp-opt-postlink,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,partial-inliner,annotation2metadata,0.001528973,0.001422595,0.069574824,"module(partial-inliner,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,recompute-globalsaa,annotation2metadata,0.001528973,0.001511130,0.011669474,"module(recompute-globalsaa,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,rewrite-symbols,annotation2metadata,0.001528973,0.001493060,0.023488080,"module(rewrite-symbols,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_backward.pass_-O2.ll,0.001557215,rpo-function-attrs,annotation2metadata,0.001528973,0.001513516,0.010109041,"module(rpo-function-attrs,annotation2metadata)"
