filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,always-inline,always-inline,0.001576816,0.001554913,0.013890616,"module(always-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,annotation2metadata,always-inline,0.001576816,0.001551255,0.016210007,"module(annotation2metadata,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,globalsplit,always-inline,0.001576816,0.001551038,0.016347618,"module(globalsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,hipstdpar-interpose-alloc,always-inline,0.001576816,0.001549995,0.017009074,"module(hipstdpar-interpose-alloc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,simplify-type-tests,always-inline,0.001576816,0.001532137,0.028334434,"module(simplify-type-tests,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,openmp-opt-postlink,always-inline,0.001576816,0.001531044,0.029027907,"module(openmp-opt-postlink,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,scc-oz-module-inliner,always-inline,0.001576816,0.001540173,0.023238193,"module(scc-oz-module-inliner,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,cgscc(attributor-light-cgscc),always-inline,0.001576816,0.001547085,0.018855104,"module(cgscc(attributor-light-cgscc),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,cgscc(inline),always-inline,0.001576816,0.001532158,0.028321430,"module(cgscc(inline),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(assume-builder),always-inline,0.001576816,0.001543466,0.021149911,"module(function(assume-builder),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(callbr-prepare),always-inline,0.001576816,0.001542815,0.021563018,"module(function(callbr-prepare),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(complex-deinterleaving),always-inline,0.001576816,0.001558717,0.011477827,"module(function(complex-deinterleaving),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(constraint-elimination),always-inline,0.001576816,0.001523304,0.033936340,"module(function(constraint-elimination),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(declare-to-assign),always-inline,0.001576816,0.001560128,0.010583009,"module(function(declare-to-assign),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(extra-vector-passes),always-inline,0.001576816,0.001536304,0.025692194,"module(function(extra-vector-passes),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(interleaved-load-combine),always-inline,0.001576816,0.001551345,0.016153422,"module(function(interleaved-load-combine),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(jump-threading),always-inline,0.001576816,0.001541149,0.022619199,"module(function(jump-threading),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(kcfi),always-inline,0.001576816,0.001532785,0.027923666,"module(function(kcfi),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_copy_n.pass_-O2.ll,0.001634197,function(libcalls-shrinkwrap),always-inline,0.001576816,0.001555546,0.013488884,"module(function(libcalls-shrinkwrap),always-inline)"
