filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(ee-instrument),attributor-light,0.002137154,0.002074327,0.029397678,"module(function(ee-instrument),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(gvn),attributor-light,0.002137154,0.002031365,0.049500315,"module(function(gvn),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(expand-fp),attributor-light,0.002137154,0.002100845,0.016989606,"module(function(expand-fp),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(redundant-dbg-inst-elim),constmerge,0.002147440,0.002110180,0.017350898,"module(function(redundant-dbg-inst-elim),constmerge)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(chr),noinline-nonprevailing,0.002129472,0.002103095,0.012386866,"module(function(chr),noinline-nonprevailing)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(jump-table-to-switch),noinline-nonprevailing,0.002129472,0.002088467,0.019256111,"module(function(jump-table-to-switch),noinline-nonprevailing)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(lower-constant-intrinsics),noinline-nonprevailing,0.002129472,0.002049303,0.037647455,"module(function(lower-constant-intrinsics),noinline-nonprevailing)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(objc-arc-expand),noinline-nonprevailing,0.002129472,0.002056207,0.034405284,"module(function(objc-arc-expand),noinline-nonprevailing)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(safe-stack),noinline-nonprevailing,0.002129472,0.002089348,0.018842268,"module(function(safe-stack),noinline-nonprevailing)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,extract-blocks,elim-avail-extern,0.002163397,0.002099353,0.029603572,"module(extract-blocks,elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,expand-variadics,elim-avail-extern,0.002163397,0.002074739,0.040981034,"module(expand-variadics,elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,strip-debug-declare,elim-avail-extern,0.002163397,0.002139663,0.010970639,"module(strip-debug-declare,elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,strip-nondebug,elim-avail-extern,0.002163397,0.002119124,0.020464408,"module(strip-nondebug,elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,strip-nonlinetable-debuginfo,elim-avail-extern,0.002163397,0.002119808,0.020148388,"module(strip-nonlinetable-debuginfo,elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(atomic-expand),elim-avail-extern,0.002163397,0.002134293,0.013452889,"module(function(atomic-expand),elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(callsite-splitting),elim-avail-extern,0.002163397,0.002101411,0.028652098,"module(function(callsite-splitting),elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(consthoist),elim-avail-extern,0.002163397,0.002134919,0.013163490,"module(function(consthoist),elim-avail-extern)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(loop-load-elim),expand-variadics,0.002139848,0.002110982,0.013489920,"module(function(loop-load-elim),expand-variadics)"
libcxx_algorithms_alg.modifying.operations_alg.copy_pstl.copy_n.pass_-O2.ll,0.002193274,function(place-safepoints),expand-variadics,0.002139848,0.002070245,0.032527130,"module(function(place-safepoints),expand-variadics)"
