filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(lower-invoke),strip,0.001433723,0.001417073,0.011612657,"module(function(lower-invoke),strip)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(scalarizer),strip,0.001433723,0.001410139,0.016449423,"module(function(scalarizer),strip)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,strip-dead-debug-info,function(aggressive-instcombine),0.001477925,0.001461765,0.010934863,"module(strip-dead-debug-info,function(aggressive-instcombine))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,cgscc(function-attrs),function(lower-invoke),0.001471712,0.001453096,0.012648819,"module(cgscc(function-attrs),function(lower-invoke))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(assume-simplify),function(lower-invoke),0.001471712,0.001441397,0.020597855,"module(function(assume-simplify),function(lower-invoke))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(atomic-expand),function(lower-invoke),0.001471712,0.001446476,0.017147293,"module(function(atomic-expand),function(lower-invoke))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(unify-loop-exits),function(lower-invoke),0.001471712,0.001436126,0.024180052,"module(function(unify-loop-exits),function(lower-invoke))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(adce),function(mergeicmps),0.001467687,0.001442858,0.016917102,"module(function(adce),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(loop-sink),function(mergeicmps),0.001467687,0.001441468,0.017864448,"module(function(loop-sink),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(lower-expect),function(mergeicmps),0.001467687,0.001411059,0.038583340,"module(function(lower-expect),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(lower-guard-intrinsic),function(mergeicmps),0.001467687,0.001450332,0.011825218,"module(function(lower-guard-intrinsic),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(lower-switch),function(mergeicmps),0.001467687,0.001434361,0.022706831,"module(function(lower-switch),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(make-guards-explicit),function(mergeicmps),0.001467687,0.001442543,0.017131718,"module(function(make-guards-explicit),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(mem2reg),function(mergeicmps),0.001467687,0.001435458,0.021959140,"module(function(mem2reg),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(objc-arc-contract),function(mergeicmps),0.001467687,0.001445635,0.015025495,"module(function(objc-arc-contract),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(objc-arc-expand),function(mergeicmps),0.001467687,0.001440195,0.018731641,"module(function(objc-arc-expand),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(partially-inline-libcalls),function(mergeicmps),0.001467687,0.001413067,0.037214902,"module(function(partially-inline-libcalls),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(slp-vectorizer),function(mergeicmps),0.001467687,0.001443659,0.016371498,"module(function(slp-vectorizer),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(strip-gc-relocates),function(mergeicmps),0.001467687,0.001397940,0.047522122,"module(function(strip-gc-relocates),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(tailcallelim),function(mergeicmps),0.001467687,0.001426589,0.028002119,"module(function(tailcallelim),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(instcombine),function(mergeicmps),0.001467687,0.001410556,0.038926077,"module(function(instcombine),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(mldst-motion),function(mergeicmps),0.001467687,0.001425118,0.029004107,"module(function(mldst-motion),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(win-eh-prepare),function(mergeicmps),0.001467687,0.001443533,0.016457549,"module(function(win-eh-prepare),function(mergeicmps))"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy.pass_-O2.ll,0.001493970,function(loop(loop-deletion)),function(mergeicmps),0.001467687,0.001418189,0.033725148,"module(function(loop(loop-deletion)),function(mergeicmps))"
