filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,annotation2metadata,always-inline,0.002167535,0.001989924,0.081941169,"module(annotation2metadata,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,assign-guid,always-inline,0.002167535,0.001776062,0.180607259,"module(assign-guid,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,attributor-light,always-inline,0.002167535,0.001721459,0.205798815,"module(attributor-light,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,called-value-propagation,always-inline,0.002167535,0.001987894,0.082877959,"module(called-value-propagation,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,canonicalize-aliases,always-inline,0.002167535,0.001800605,0.169284334,"module(canonicalize-aliases,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,constmerge,always-inline,0.002167535,0.001954019,0.098506283,"module(constmerge,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,coro-cleanup,always-inline,0.002167535,0.001777077,0.180139331,"module(coro-cleanup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,coro-early,always-inline,0.002167535,0.001958441,0.096466100,"module(coro-early,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,cross-dso-cfi,always-inline,0.002167535,0.001799325,0.169875070,"module(cross-dso-cfi,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,ctx-prof-flatten,always-inline,0.002167535,0.002089360,0.036066208,"module(ctx-prof-flatten,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,noinline-nonprevailing,always-inline,0.002167535,0.001767151,0.184718469,"module(noinline-nonprevailing,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,deadargelim,always-inline,0.002167535,0.001805876,0.166852385,"module(deadargelim,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,declare-runtime-libcalls,always-inline,0.002167535,0.001757253,0.189285216,"module(declare-runtime-libcalls,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,dxil-upgrade,always-inline,0.002167535,0.001725103,0.204117477,"module(dxil-upgrade,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,elim-avail-extern,always-inline,0.002167535,0.001964756,0.093552612,"module(elim-avail-extern,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,extract-blocks,always-inline,0.002167535,0.001786670,0.175713454,"module(extract-blocks,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,expand-variadics,always-inline,0.002167535,0.001951771,0.099543561,"module(expand-variadics,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,forceattrs,always-inline,0.002167535,0.001883057,0.131244733,"module(forceattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,global-merge-func,always-inline,0.002167535,0.001748952,0.193114881,"module(global-merge-func,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,globalopt,always-inline,0.002167535,0.001790721,0.173844585,"module(globalopt,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,globalsplit,always-inline,0.002167535,0.001925769,0.111539684,"module(globalsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,hipstdpar-interpose-alloc,always-inline,0.002167535,0.002006023,0.074513830,"module(hipstdpar-interpose-alloc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,hipstdpar-math-fixup,always-inline,0.002167535,0.001757891,0.188990787,"module(hipstdpar-math-fixup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,hotcoldsplit,always-inline,0.002167535,0.001779409,0.179063308,"module(hotcoldsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,inferattrs,always-inline,0.002167535,0.001924316,0.112209739,"module(inferattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,inliner-wrapper-no-mandatory-first,always-inline,0.002167535,0.001871711,0.136479529,"module(inliner-wrapper-no-mandatory-first,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,jmc-instrumenter,always-inline,0.002167535,0.001800133,0.169501943,"module(jmc-instrumenter,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,lower-emutls,always-inline,0.002167535,0.001821531,0.159629934,"module(lower-emutls,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,lower-global-dtors,always-inline,0.002167535,0.001737850,0.198236418,"module(lower-global-dtors,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,lower-ifunc,always-inline,0.002167535,0.001801625,0.168813963,"module(lower-ifunc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,simplify-type-tests,always-inline,0.002167535,0.001890710,0.127714111,"module(simplify-type-tests,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,lowertypetests,always-inline,0.002167535,0.002032187,0.062443256,"module(lowertypetests,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.segmented.pass_-O2.ll,0.002383530,fatlto-cleanup,always-inline,0.002167535,0.001683274,0.223415495,"module(fatlto-cleanup,always-inline)"
