filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,called-value-propagation,called-value-propagation,0.001569572,0.001527205,0.026992460,"module(called-value-propagation,called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(alignment-from-assumptions),called-value-propagation,0.001569572,0.001496290,0.046689332,"module(function(alignment-from-assumptions),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(bdce),called-value-propagation,0.001569572,0.001496622,0.046477655,"module(function(bdce),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(jump-table-to-switch),called-value-propagation,0.001569572,0.001509643,0.038181576,"module(function(jump-table-to-switch),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(loop-versioning),called-value-propagation,0.001569572,0.001551976,0.011210767,"module(function(loop-versioning),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,extract-blocks,dxil-upgrade,0.001563377,0.001476276,0.055713089,"module(extract-blocks,dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(div-rem-pairs),dxil-upgrade,0.001563377,0.001526844,0.023368118,"module(function(div-rem-pairs),dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(lower-widenable-condition),dxil-upgrade,0.001563377,0.001470496,0.059410110,"module(function(lower-widenable-condition),dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(objc-arc),dxil-upgrade,0.001563377,0.001485442,0.049850556,"module(function(objc-arc),dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(place-safepoints),dxil-upgrade,0.001563377,0.001488892,0.047643809,"module(function(place-safepoints),dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(prof-inject),dxil-upgrade,0.001563377,0.001495067,0.043693671,"module(function(prof-inject),dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(reg2mem),dxil-upgrade,0.001563377,0.001520209,0.027611747,"module(function(reg2mem),dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(sandbox-vectorizer),dxil-upgrade,0.001563377,0.001514219,0.031443195,"module(function(sandbox-vectorizer),dxil-upgrade)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(dfa-jump-threading),extract-blocks,0.001503546,0.001481204,0.014859846,"module(function(dfa-jump-threading),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(load-store-vectorizer),extract-blocks,0.001503546,0.001436375,0.044675496,"module(function(load-store-vectorizer),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(lower-invoke),extract-blocks,0.001503546,0.001464674,0.025854058,"module(function(lower-invoke),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(mergereturn),extract-blocks,0.001503546,0.001429813,0.049039938,"module(function(mergereturn),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(move-auto-init),extract-blocks,0.001503546,0.001461284,0.028108349,"module(function(move-auto-init),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(objc-arc-expand),extract-blocks,0.001503546,0.001474672,0.019204167,"module(function(objc-arc-expand),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(partially-inline-libcalls),extract-blocks,0.001503546,0.001454902,0.032353419,"module(function(partially-inline-libcalls),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(place-safepoints),extract-blocks,0.001503546,0.001437537,0.043902669,"module(function(place-safepoints),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(reg2mem),extract-blocks,0.001503546,0.001465320,0.025424495,"module(function(reg2mem),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(scalarize-masked-mem-intrin),extract-blocks,0.001503546,0.001459957,0.028990963,"module(function(scalarize-masked-mem-intrin),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(sccp),extract-blocks,0.001503546,0.001429444,0.049285124,"module(function(sccp),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_if.pass_-O2.ll,0.001606161,function(separate-const-offset-from-gep),extract-blocks,0.001503546,0.001471097,0.021582080,"module(function(separate-const-offset-from-gep),extract-blocks)"
