filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,assign-guid,always-inline,0.001698438,0.001597341,0.059523593,"module(assign-guid,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,canonicalize-aliases,always-inline,0.001698438,0.001668917,0.017381295,"module(canonicalize-aliases,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,coro-cleanup,always-inline,0.001698438,0.001654003,0.026162097,"module(coro-cleanup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,coro-early,always-inline,0.001698438,0.001640461,0.034135223,"module(coro-early,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,lower-ifunc,always-inline,0.001698438,0.001598595,0.058785128,"module(lower-ifunc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,partial-inliner,always-inline,0.001698438,0.001673588,0.014631016,"module(partial-inliner,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,rel-lookup-table-converter,always-inline,0.001698438,0.001619690,0.046364903,"module(rel-lookup-table-converter,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,cgscc(coro-annotation-elide),always-inline,0.001698438,0.001615907,0.048592387,"module(cgscc(coro-annotation-elide),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,cgscc(function-attrs),always-inline,0.001698438,0.001621836,0.045101639,"module(cgscc(function-attrs),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,cgscc(inline),always-inline,0.001698438,0.001605549,0.054690887,"module(cgscc(inline),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(adce),always-inline,0.001698438,0.001617957,0.047385376,"module(function(adce),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(add-discriminators),always-inline,0.001698438,0.001578417,0.070665249,"module(function(add-discriminators),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(aggressive-instcombine),always-inline,0.001698438,0.001572317,0.074256816,"module(function(aggressive-instcombine),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(annotation-remarks),always-inline,0.001698438,0.001587713,0.065191940,"module(function(annotation-remarks),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(assume-builder),always-inline,0.001698438,0.001622417,0.044759141,"module(function(assume-builder),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(assume-simplify),always-inline,0.001698438,0.001664377,0.020053995,"module(function(assume-simplify),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(atomic-expand),always-inline,0.001698438,0.001650920,0.027977713,"module(function(atomic-expand),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(bdce),always-inline,0.001698438,0.001606815,0.053945459,"module(function(bdce),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(break-crit-edges),always-inline,0.001698438,0.001667846,0.018011554,"module(function(break-crit-edges),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(dfa-jump-threading),always-inline,0.001698438,0.001669550,0.017008664,"module(function(dfa-jump-threading),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(div-rem-pairs),always-inline,0.001698438,0.001556832,0.083374029,"module(function(div-rem-pairs),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(dwarf-eh-prepare),always-inline,0.001698438,0.001622680,0.044604513,"module(function(dwarf-eh-prepare),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(expand-large-div-rem),always-inline,0.001698438,0.001547670,0.088768378,"module(function(expand-large-div-rem),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(flatten-cfg),always-inline,0.001698438,0.001601897,0.056840744,"module(function(flatten-cfg),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(gc-lowering),always-inline,0.001698438,0.001637828,0.035685977,"module(function(gc-lowering),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(instsimplify),always-inline,0.001698438,0.001668681,0.017520381,"module(function(instsimplify),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(interleaved-load-combine),always-inline,0.001698438,0.001635571,0.037014656,"module(function(interleaved-load-combine),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(jump-threading),always-inline,0.001698438,0.001669573,0.016995261,"module(function(jump-threading),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(kcfi),always-inline,0.001698438,0.001666107,0.019035946,"module(function(kcfi),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(lower-expect),always-inline,0.001698438,0.001672118,0.015496336,"module(function(lower-expect),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(reg2mem),always-inline,0.001698438,0.001653235,0.026614679,"module(function(reg2mem),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(scalarize-masked-mem-intrin),always-inline,0.001698438,0.001621585,0.045249165,"module(function(scalarize-masked-mem-intrin),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(separate-const-offset-from-gep),always-inline,0.001698438,0.001677106,0.012559959,"module(function(separate-const-offset-from-gep),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,declare-runtime-libcalls,attributor-light,0.001695507,0.001661283,0.020184957,"module(declare-runtime-libcalls,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,extract-blocks,attributor-light,0.001695507,0.001600581,0.055986966,"module(extract-blocks,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,global-merge-func,attributor-light,0.001695507,0.001644431,0.030124124,"module(global-merge-func,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,mergefunc,attributor-light,0.001695507,0.001627088,0.040353144,"module(mergefunc,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,module-inline,attributor-light,0.001695507,0.001644052,0.030347919,"module(module-inline,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(expand-memcmp),attributor-light,0.001695507,0.001607035,0.052180336,"module(function(expand-memcmp),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(move-auto-init),attributor-light,0.001695507,0.001647751,0.028166016,"module(function(move-auto-init),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(objc-arc-expand),attributor-light,0.001695507,0.001651157,0.026157448,"module(function(objc-arc-expand),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(partially-inline-libcalls),attributor-light,0.001695507,0.001632837,0.036962011,"module(function(partially-inline-libcalls),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(redundant-dbg-inst-elim),attributor-light,0.001695507,0.001600587,0.055983327,"module(function(redundant-dbg-inst-elim),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(hardware-loops),attributor-light,0.001695507,0.001671269,0.014295303,"module(function(hardware-loops),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(loop(loop-idiom)),attributor-light,0.001695507,0.001562823,0.078256173,"module(function(loop(loop-idiom)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(loop(loop-simplifycfg)),attributor-light,0.001695507,0.001588080,0.063359787,"module(function(loop(loop-simplifycfg)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(loop(loop-versioning-licm)),attributor-light,0.001695507,0.001510465,0.109136308,"module(function(loop(loop-versioning-licm)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,noinline-nonprevailing,coro-early,0.001678462,0.001661332,0.010205522,"module(noinline-nonprevailing,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,declare-runtime-libcalls,coro-early,0.001678462,0.001631187,0.028165612,"module(declare-runtime-libcalls,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,jmc-instrumenter,coro-early,0.001678462,0.001549432,0.076874143,"module(jmc-instrumenter,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,lower-global-dtors,coro-early,0.001678462,0.001633607,0.026723592,"module(lower-global-dtors,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,simplify-type-tests,coro-early,0.001678462,0.001609864,0.040869645,"module(simplify-type-tests,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,mergefunc,coro-early,0.001678462,0.001641810,0.021836347,"module(mergefunc,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,shadow-stack-gc-lowering,coro-early,0.001678462,0.001589935,0.052742960,"module(shadow-stack-gc-lowering,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.fill_pstl.fill_n.pass_-O2.ll,0.001803227,function(loop-sink),coro-early,0.001678462,0.001618620,0.035652702,"module(function(loop-sink),coro-early)"
