filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,function(infer-address-spaces),called-value-propagation,0.001556995,0.001537422,0.012570622,"module(function(infer-address-spaces),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,function(loop(simple-loop-unswitch)),called-value-propagation,0.001556995,0.001513758,0.027769379,"module(function(loop(simple-loop-unswitch)),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,simplify-type-tests,hipstdpar-interpose-alloc,0.001555297,0.001531236,0.015470360,"module(simplify-type-tests,hipstdpar-interpose-alloc)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,name-anon-globals,hipstdpar-interpose-alloc,0.001555297,0.001534286,0.013509464,"module(name-anon-globals,hipstdpar-interpose-alloc)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,partial-inliner,hipstdpar-interpose-alloc,0.001555297,0.001520057,0.022658022,"module(partial-inliner,hipstdpar-interpose-alloc)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,strip-dead-debug-info,hipstdpar-interpose-alloc,0.001555297,0.001503517,0.033292477,"module(strip-dead-debug-info,hipstdpar-interpose-alloc)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,strip-nonlinetable-debuginfo,hipstdpar-interpose-alloc,0.001555297,0.001531319,0.015416996,"module(strip-nonlinetable-debuginfo,hipstdpar-interpose-alloc)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,global-merge,hipstdpar-interpose-alloc,0.001555297,0.001532878,0.014414810,"module(global-merge,hipstdpar-interpose-alloc)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,canonicalize-aliases,jmc-instrumenter,0.001547353,0.001444354,0.066564684,"module(canonicalize-aliases,jmc-instrumenter)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,constmerge,jmc-instrumenter,0.001547353,0.001506594,0.026340594,"module(constmerge,jmc-instrumenter)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,coro-cleanup,jmc-instrumenter,0.001547353,0.001501024,0.029940335,"module(coro-cleanup,jmc-instrumenter)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate.pass_-O2.ll,0.001599254,coro-early,jmc-instrumenter,0.001547353,0.001512845,0.022300882,"module(coro-early,jmc-instrumenter)"
