filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,rewrite-statepoints-for-gc,always-inline,0.001553676,0.001536225,0.011231663,"module(rewrite-statepoints-for-gc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(assume-simplify),always-inline,0.001553676,0.001535145,0.011927203,"module(function(assume-simplify),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(transform-warning),always-inline,0.001553676,0.001531096,0.014533289,"module(function(transform-warning),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(early-cse),always-inline,0.001553676,0.001521741,0.020553924,"module(function(early-cse),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop-unroll),always-inline,0.001553676,0.001517330,0.023392937,"module(function(loop-unroll),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(canon-freeze)),always-inline,0.001553676,0.001496548,0.036769141,"module(function(loop(canon-freeze)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(evl-iv-simplify)),always-inline,0.001553676,0.001505301,0.031135861,"module(function(loop(evl-iv-simplify)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(extra-simple-loop-unswitch-passes)),always-inline,0.001553676,0.001511320,0.027261467,"module(function(loop(extra-simple-loop-unswitch-passes)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(loop-predication)),always-inline,0.001553676,0.001482690,0.045688712,"module(function(loop(loop-predication)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(loop-reduce)),always-inline,0.001553676,0.001528527,0.016186249,"module(function(loop(loop-reduce)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(loop-term-fold)),always-inline,0.001553676,0.001504291,0.031785770,"module(function(loop(loop-term-fold)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,simplify-type-tests,assign-guid,0.001603187,0.001528821,0.046385907,"module(simplify-type-tests,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,mergefunc,assign-guid,0.001603187,0.001546183,0.035556154,"module(mergefunc,assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(infer-address-spaces),assign-guid,0.001603187,0.001581604,0.013462369,"module(function(infer-address-spaces),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(infer-alignment),assign-guid,0.001603187,0.001582223,0.013076328,"module(function(infer-alignment),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(lower-expect),assign-guid,0.001603187,0.001519603,0.052135803,"module(function(lower-expect),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(move-auto-init),assign-guid,0.001603187,0.001566135,0.023111348,"module(function(move-auto-init),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(objc-arc-contract),assign-guid,0.001603187,0.001555679,0.029633067,"module(function(objc-arc-contract),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(typepromotion),assign-guid,0.001603187,0.001526831,0.047627658,"module(function(typepromotion),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(unreachableblockelim),assign-guid,0.001603187,0.001505643,0.060843754,"module(function(unreachableblockelim),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(cfguard),assign-guid,0.001603187,0.001564433,0.024172656,"module(function(cfguard),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(early-cse),assign-guid,0.001603187,0.001512295,0.056694436,"module(function(early-cse),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(mldst-motion),assign-guid,0.001603187,0.001582727,0.012761735,"module(function(mldst-motion),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(bounds-checking),assign-guid,0.001603187,0.001565164,0.023716778,"module(function(bounds-checking),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(guard-widening)),assign-guid,0.001603187,0.001570913,0.020130590,"module(function(loop(guard-widening)),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,pre-isel-intrinsic-lowering,attributor-light,0.001595922,0.001561895,0.021320820,"module(pre-isel-intrinsic-lowering,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,wholeprogramdevirt,attributor-light,0.001595922,0.001567863,0.017581229,"module(wholeprogramdevirt,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,cg-profile,attributor-light,0.001595922,0.001573926,0.013782408,"module(cg-profile,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(loop(loop-reduce)),attributor-light,0.001595922,0.001561480,0.021580819,"module(function(loop(loop-reduce)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_generate_n.pass_-O2.ll,0.001674067,function(speculative-execution),called-value-propagation,0.001616307,0.001580147,0.022371871,"module(function(speculative-execution),called-value-propagation)"
