filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,attributor-light,always-inline,0.001654470,0.001632136,0.013498895,"module(attributor-light,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,called-value-propagation,always-inline,0.001654470,0.001607776,0.028222635,"module(called-value-propagation,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,coro-early,always-inline,0.001654470,0.001577585,0.046471106,"module(coro-early,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,cross-dso-cfi,always-inline,0.001654470,0.001599447,0.033257241,"module(cross-dso-cfi,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,globalopt,always-inline,0.001654470,0.001549145,0.063660520,"module(globalopt,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,globalsplit,always-inline,0.001654470,0.001579079,0.045568078,"module(globalsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,hipstdpar-interpose-alloc,always-inline,0.001654470,0.001635712,0.011337355,"module(hipstdpar-interpose-alloc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,inferattrs,always-inline,0.001654470,0.001637746,0.010108231,"module(inferattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,openmp-opt-postlink,always-inline,0.001654470,0.001609826,0.026983865,"module(openmp-opt-postlink,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,partial-inliner,always-inline,0.001654470,0.001573925,0.048682937,"module(partial-inliner,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,function(gvn-sink),always-inline,0.001654470,0.001636163,0.011065147,"module(function(gvn-sink),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,function(loop(loop-rotate)),always-inline,0.001654470,0.001565749,0.053624649,"module(function(loop(loop-rotate)),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,assign-guid,annotation2metadata,0.001727705,0.001575745,0.087954524,"module(assign-guid,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,attributor-light,annotation2metadata,0.001727705,0.001533291,0.112526940,"module(attributor-light,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,called-value-propagation,annotation2metadata,0.001727705,0.001584960,0.082620786,"module(called-value-propagation,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,canonicalize-aliases,annotation2metadata,0.001727705,0.001571333,0.090508295,"module(canonicalize-aliases,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,constmerge,annotation2metadata,0.001727705,0.001591818,0.078651515,"module(constmerge,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,coro-cleanup,annotation2metadata,0.001727705,0.001518910,0.120850705,"module(coro-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,cross-dso-cfi,annotation2metadata,0.001727705,0.001577366,0.087016111,"module(cross-dso-cfi,annotation2metadata)"
