filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(correlated-propagation),always-inline,0.001588270,0.001511032,0.048630247,"module(function(correlated-propagation),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(gvn-hoist),always-inline,0.001588270,0.001565030,0.014632266,"module(function(gvn-hoist),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(loop-sink),always-inline,0.001588270,0.001533096,0.034738375,"module(function(loop-sink),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(lower-atomic),always-inline,0.001588270,0.001553548,0.021861118,"module(function(lower-atomic),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(memcpyopt),always-inline,0.001588270,0.001554671,0.021154202,"module(function(memcpyopt),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(tailcallelim),always-inline,0.001588270,0.001552033,0.022815084,"module(function(tailcallelim),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(wasm-eh-prepare),always-inline,0.001588270,0.001549214,0.024590257,"module(function(wasm-eh-prepare),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,noinline-nonprevailing,annotation2metadata,0.001669566,0.001562453,0.064156363,"module(noinline-nonprevailing,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,forceattrs,annotation2metadata,0.001669566,0.001581718,0.052617432,"module(forceattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,hipstdpar-math-fixup,annotation2metadata,0.001669566,0.001566900,0.061492962,"module(hipstdpar-math-fixup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,inferattrs,annotation2metadata,0.001669566,0.001545132,0.074531072,"module(inferattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,inliner-wrapper,annotation2metadata,0.001669566,0.001646711,0.013689478,"module(inliner-wrapper,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,lowertypetests,annotation2metadata,0.001669566,0.001614734,0.032842294,"module(lowertypetests,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,scc-oz-module-inliner,annotation2metadata,0.001669566,0.001534417,0.080948961,"module(scc-oz-module-inliner,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,shadow-stack-gc-lowering,annotation2metadata,0.001669566,0.001512446,0.094108347,"module(shadow-stack-gc-lowering,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,strip,annotation2metadata,0.001669566,0.001515425,0.092324194,"module(strip,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,strip-debug-declare,annotation2metadata,0.001669566,0.001629309,0.024112511,"module(strip-debug-declare,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(adce),annotation2metadata,0.001669566,0.001622095,0.028433077,"module(function(adce),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(bdce),annotation2metadata,0.001669566,0.001586202,0.049931936,"module(function(bdce),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(break-crit-edges),annotation2metadata,0.001669566,0.001553756,0.069365282,"module(function(break-crit-edges),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(callbr-prepare),annotation2metadata,0.001669566,0.001628612,0.024530207,"module(function(callbr-prepare),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(constraint-elimination),annotation2metadata,0.001669566,0.001611287,0.034907058,"module(function(constraint-elimination),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(coro-elide),annotation2metadata,0.001669566,0.001598380,0.042637309,"module(function(coro-elide),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(gc-lowering),annotation2metadata,0.001669566,0.001597298,0.043285944,"module(function(gc-lowering),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(guard-widening),annotation2metadata,0.001669566,0.001622257,0.028336264,"module(function(guard-widening),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(gvn-hoist),annotation2metadata,0.001669566,0.001532701,0.081976344,"module(function(gvn-hoist),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(gvn-sink),annotation2metadata,0.001669566,0.001619686,0.029876339,"module(function(gvn-sink),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(indirectbr-expand),annotation2metadata,0.001669566,0.001572983,0.057849299,"module(function(indirectbr-expand),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(infer-address-spaces),annotation2metadata,0.001669566,0.001615586,0.032331855,"module(function(infer-address-spaces),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,function(instnamer),annotation2metadata,0.001669566,0.001596624,0.043689428,"module(function(instnamer),annotation2metadata)"
