filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,constmerge,always-inline,0.001712876,0.001660698,0.030462254,"module(constmerge,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,coro-cleanup,always-inline,0.001712876,0.001582404,0.076171785,"module(coro-cleanup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,coro-early,always-inline,0.001712876,0.001526225,0.108969767,"module(coro-early,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,deadargelim,always-inline,0.001712876,0.001617829,0.055490153,"module(deadargelim,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,extract-blocks,always-inline,0.001712876,0.001683438,0.017186724,"module(extract-blocks,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,expand-variadics,always-inline,0.001712876,0.001673399,0.023047477,"module(expand-variadics,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,forceattrs,always-inline,0.001712876,0.001602891,0.064210671,"module(forceattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,globalsplit,always-inline,0.001712876,0.001600509,0.065601735,"module(globalsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,hipstdpar-interpose-alloc,always-inline,0.001712876,0.001577614,0.078968164,"module(hipstdpar-interpose-alloc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,hotcoldsplit,always-inline,0.001712876,0.001586178,0.073967920,"module(hotcoldsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,inferattrs,always-inline,0.001712876,0.001555795,0.091706243,"module(inferattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,inliner-wrapper,always-inline,0.001712876,0.001536682,0.102864580,"module(inliner-wrapper,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,module-inline,always-inline,0.001712876,0.001632828,0.046733106,"module(module-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,name-anon-globals,always-inline,0.001712876,0.001640193,0.042433810,"module(name-anon-globals,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,pre-isel-intrinsic-lowering,always-inline,0.001712876,0.001664435,0.028280825,"module(pre-isel-intrinsic-lowering,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,rel-lookup-table-converter,always-inline,0.001712876,0.001655171,0.033689452,"module(rel-lookup-table-converter,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,strip-dead-debug-info,always-inline,0.001712876,0.001577904,0.078798435,"module(strip-dead-debug-info,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,strip-nonlinetable-debuginfo,always-inline,0.001712876,0.001684148,0.016771923,"module(strip-nonlinetable-debuginfo,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,strip-dead-cg-profile,always-inline,0.001712876,0.001546968,0.096859543,"module(strip-dead-cg-profile,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,cgscc(openmp-opt-cgscc),always-inline,0.001712876,0.001669470,0.025341351,"module(cgscc(openmp-opt-cgscc),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,cgscc(coro-annotation-elide),always-inline,0.001712876,0.001640754,0.042105994,"module(cgscc(coro-annotation-elide),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,cgscc(coro-split),always-inline,0.001712876,0.001572220,0.082116793,"module(cgscc(coro-split),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,function(bdce),always-inline,0.001712876,0.001547838,0.096351382,"module(function(bdce),always-inline)"
