filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,annotation2metadata,attributor-light,0.001644105,0.001591049,0.032270648,"module(annotation2metadata,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,recompute-globalsaa,attributor-light,0.001644105,0.001564995,0.048117370,"module(recompute-globalsaa,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(assume-builder),attributor-light,0.001644105,0.001571868,0.043937392,"module(function(assume-builder),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(assume-simplify),attributor-light,0.001644105,0.001610344,0.020535081,"module(function(assume-simplify),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(chr),attributor-light,0.001644105,0.001602265,0.025448562,"module(function(chr),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(consthoist),attributor-light,0.001644105,0.001538501,0.064231901,"module(function(consthoist),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(constraint-elimination),attributor-light,0.001644105,0.001617677,0.016074889,"module(function(constraint-elimination),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(lower-constant-intrinsics),attributor-light,0.001644105,0.001579309,0.039411193,"module(function(lower-constant-intrinsics),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(vector-combine),attributor-light,0.001644105,0.001571534,0.044140356,"module(function(vector-combine),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(loop(loop-idiom)),attributor-light,0.001644105,0.001580644,0.038599514,"module(function(loop(loop-idiom)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(loop(loop-predication)),attributor-light,0.001644105,0.001527528,0.070906300,"module(function(loop(loop-predication)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(loop(loop-term-fold)),attributor-light,0.001644105,0.001550956,0.056656826,"module(function(loop(loop-term-fold)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,lower-emutls,called-value-propagation,0.001575938,0.001550473,0.016158937,"module(lower-emutls,called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,partial-inliner,called-value-propagation,0.001575938,0.001558645,0.010973265,"module(partial-inliner,called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,recompute-globalsaa,called-value-propagation,0.001575938,0.001555436,0.013009471,"module(recompute-globalsaa,called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,rel-lookup-table-converter,called-value-propagation,0.001575938,0.001546786,0.018498225,"module(rel-lookup-table-converter,called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,wholeprogramdevirt,called-value-propagation,0.001575938,0.001559491,0.010436749,"module(wholeprogramdevirt,called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(callsite-splitting),called-value-propagation,0.001575938,0.001516716,0.037579128,"module(function(callsite-splitting),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(chr),called-value-propagation,0.001575938,0.001449991,0.079918819,"module(function(chr),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(complex-deinterleaving),called-value-propagation,0.001575938,0.001503505,0.045962084,"module(function(complex-deinterleaving),called-value-propagation)"
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,function(consthoist),called-value-propagation,0.001575938,0.001531850,0.027975791,"module(function(consthoist),called-value-propagation)"
