filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,assign-guid,annotation2metadata,0.001867549,0.001768024,0.053291817,"module(assign-guid,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,canonicalize-aliases,annotation2metadata,0.001867549,0.001837367,0.016161211,"module(canonicalize-aliases,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,coro-cleanup,annotation2metadata,0.001867549,0.001778282,0.047798992,"module(coro-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,coro-early,annotation2metadata,0.001867549,0.001793839,0.039468930,"module(coro-early,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,cross-dso-cfi,annotation2metadata,0.001867549,0.001773464,0.050378881,"module(cross-dso-cfi,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,elim-avail-extern,annotation2metadata,0.001867549,0.001831575,0.019263061,"module(elim-avail-extern,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,jmc-instrumenter,annotation2metadata,0.001867549,0.001834579,0.017654424,"module(jmc-instrumenter,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,mergefunc,annotation2metadata,0.001867549,0.001807515,0.032146136,"module(mergefunc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,module-inline,annotation2metadata,0.001867549,0.001810496,0.030549761,"module(module-inline,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,cgscc(openmp-opt-cgscc),annotation2metadata,0.001867549,0.001831735,0.019177390,"module(cgscc(openmp-opt-cgscc),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,function(correlated-propagation),annotation2metadata,0.001867549,0.001822842,0.023939187,"module(function(correlated-propagation),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,function(dfa-jump-threading),annotation2metadata,0.001867549,0.001800400,0.035955889,"module(function(dfa-jump-threading),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,function(infer-alignment),annotation2metadata,0.001867549,0.001767191,0.053737904,"module(function(infer-alignment),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,function(instsimplify),annotation2metadata,0.001867549,0.001838236,0.015696275,"module(function(instsimplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,function(loop-distribute),annotation2metadata,0.001867549,0.001830384,0.019900368,"module(function(loop-distribute),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,function(loop-simplify),annotation2metadata,0.001867549,0.001827634,0.021372933,"module(function(loop-simplify),annotation2metadata)"
