filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,always-inline,annotation2metadata,0.001965235,0.001659777,0.155430585,"module(always-inline,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,annotation2metadata,annotation2metadata,0.001965235,0.001587543,0.192186700,"module(annotation2metadata,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,assign-guid,annotation2metadata,0.001965235,0.001536562,0.218128096,"module(assign-guid,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,attributor-light,annotation2metadata,0.001965235,0.001724520,0.122486601,"module(attributor-light,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,called-value-propagation,annotation2metadata,0.001965235,0.001561370,0.205504532,"module(called-value-propagation,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,canonicalize-aliases,annotation2metadata,0.001965235,0.001690666,0.139712994,"module(canonicalize-aliases,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,constmerge,annotation2metadata,0.001965235,0.001533648,0.219610737,"module(constmerge,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,coro-cleanup,annotation2metadata,0.001965235,0.001728370,0.120527371,"module(coro-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,coro-early,annotation2metadata,0.001965235,0.001678831,0.145735042,"module(coro-early,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,cross-dso-cfi,annotation2metadata,0.001965235,0.001685095,0.142547797,"module(cross-dso-cfi,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,ctx-prof-flatten,annotation2metadata,0.001965235,0.001871483,0.047705289,"module(ctx-prof-flatten,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,noinline-nonprevailing,annotation2metadata,0.001965235,0.001661792,0.154405369,"module(noinline-nonprevailing,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,deadargelim,annotation2metadata,0.001965235,0.001695825,0.137087775,"module(deadargelim,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,declare-runtime-libcalls,annotation2metadata,0.001965235,0.001681943,0.144151852,"module(declare-runtime-libcalls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,dxil-upgrade,annotation2metadata,0.001965235,0.001525299,0.223859144,"module(dxil-upgrade,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,elim-avail-extern,annotation2metadata,0.001965235,0.001668680,0.150900283,"module(elim-avail-extern,annotation2metadata)"
