filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,always-inline,coro-early,0.001873639,0.001632180,0.128871678,"module(always-inline,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,annotation2metadata,coro-early,0.001873639,0.001584152,0.154504940,"module(annotation2metadata,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,assign-guid,coro-early,0.001873639,0.001721698,0.081094030,"module(assign-guid,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,attributor-light,coro-early,0.001873639,0.001695992,0.094813993,"module(attributor-light,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,called-value-propagation,coro-early,0.001873639,0.001573836,0.160011199,"module(called-value-propagation,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,canonicalize-aliases,coro-early,0.001873639,0.001606916,0.142355442,"module(canonicalize-aliases,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,constmerge,coro-early,0.001873639,0.001846377,0.014550134,"module(constmerge,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,coro-cleanup,coro-early,0.001873639,0.001785944,0.046804552,"module(coro-cleanup,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,coro-early,coro-early,0.001873639,0.001733805,0.074632393,"module(coro-early,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,cross-dso-cfi,coro-early,0.001873639,0.001656485,0.115899292,"module(cross-dso-cfi,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,ctx-prof-flatten,coro-early,0.001873639,0.001661279,0.113340701,"module(ctx-prof-flatten,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,noinline-nonprevailing,coro-early,0.001873639,0.001833472,0.021437672,"module(noinline-nonprevailing,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,deadargelim,coro-early,0.001873639,0.001716046,0.084110452,"module(deadargelim,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,declare-runtime-libcalls,coro-early,0.001873639,0.001586467,0.153269816,"module(declare-runtime-libcalls,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,dxil-upgrade,coro-early,0.001873639,0.001703438,0.090839519,"module(dxil-upgrade,coro-early)"
