filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,function(coro-elide),function(strip-gc-relocates),0.001493046,0.001462085,0.020736931,"module(function(coro-elide),function(strip-gc-relocates))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,function(div-rem-pairs),function(strip-gc-relocates),0.001493046,0.001471497,0.014432717,"module(function(div-rem-pairs),function(strip-gc-relocates))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,function(extra-vector-passes),function(strip-gc-relocates),0.001493046,0.001464429,0.019166912,"module(function(extra-vector-passes),function(strip-gc-relocates))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,function(separate-const-offset-from-gep),function(strip-gc-relocates),0.001493046,0.001464585,0.019062065,"module(function(separate-const-offset-from-gep),function(strip-gc-relocates))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,coro-early,function(wasm-eh-prepare),0.001538725,0.001517992,0.013474181,"module(coro-early,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,cross-dso-cfi,function(wasm-eh-prepare),0.001538725,0.001494110,0.028994906,"module(cross-dso-cfi,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,ctx-prof-flatten,function(wasm-eh-prepare),0.001538725,0.001497223,0.026971255,"module(ctx-prof-flatten,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,extract-blocks,function(wasm-eh-prepare),0.001538725,0.001517279,0.013937554,"module(extract-blocks,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,forceattrs,function(wasm-eh-prepare),0.001538725,0.001508586,0.019586566,"module(forceattrs,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,global-merge-func,function(wasm-eh-prepare),0.001538725,0.001515152,0.015319748,"module(global-merge-func,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,globalopt,function(wasm-eh-prepare),0.001538725,0.001517678,0.013678149,"module(globalopt,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,globalsplit,function(wasm-eh-prepare),0.001538725,0.001520292,0.011979215,"module(globalsplit,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,hipstdpar-math-fixup,function(wasm-eh-prepare),0.001538725,0.001467136,0.046525023,"module(hipstdpar-math-fixup,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,inferattrs,function(wasm-eh-prepare),0.001538725,0.001512959,0.016744870,"module(inferattrs,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,inliner-wrapper-no-mandatory-first,function(wasm-eh-prepare),0.001538725,0.001491623,0.030611164,"module(inliner-wrapper-no-mandatory-first,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,jmc-instrumenter,function(wasm-eh-prepare),0.001538725,0.001516547,0.014413228,"module(jmc-instrumenter,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,lower-emutls,function(wasm-eh-prepare),0.001538725,0.001503078,0.023166691,"module(lower-emutls,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,lower-global-dtors,function(wasm-eh-prepare),0.001538725,0.001495135,0.028328299,"module(lower-global-dtors,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,lower-ifunc,function(wasm-eh-prepare),0.001538725,0.001512014,0.017358689,"module(lower-ifunc,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,partial-inliner,function(wasm-eh-prepare),0.001538725,0.001477506,0.039785301,"module(partial-inliner,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,pre-isel-intrinsic-lowering,function(wasm-eh-prepare),0.001538725,0.001505194,0.021791489,"module(pre-isel-intrinsic-lowering,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,rewrite-symbols,function(wasm-eh-prepare),0.001538725,0.001494199,0.028936560,"module(rewrite-symbols,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,rpo-function-attrs,function(wasm-eh-prepare),0.001538725,0.001515911,0.014826309,"module(rpo-function-attrs,function(wasm-eh-prepare))"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,strip-nonlinetable-debuginfo,function(wasm-eh-prepare),0.001538725,0.001491017,0.031004452,"module(strip-nonlinetable-debuginfo,function(wasm-eh-prepare))"
