filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,always-inline,always-inline,0.001534750,0.001474807,0.039057000,"module(always-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,annotation2metadata,always-inline,0.001534750,0.001496795,0.024730143,"module(annotation2metadata,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,assign-guid,always-inline,0.001534750,0.001495897,0.025315233,"module(assign-guid,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,canonicalize-aliases,always-inline,0.001534750,0.001478022,0.036962430,"module(canonicalize-aliases,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,constmerge,always-inline,0.001534750,0.001491603,0.028113574,"module(constmerge,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,coro-early,always-inline,0.001534750,0.001514246,0.013359922,"module(coro-early,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,cross-dso-cfi,always-inline,0.001534750,0.001492954,0.027233253,"module(cross-dso-cfi,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,deadargelim,always-inline,0.001534750,0.001491097,0.028443029,"module(deadargelim,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,declare-runtime-libcalls,always-inline,0.001534750,0.001437444,0.063401500,"module(declare-runtime-libcalls,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,dxil-upgrade,always-inline,0.001534750,0.001515819,0.012334917,"module(dxil-upgrade,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,globalsplit,always-inline,0.001534750,0.001511703,0.015016427,"module(globalsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,hipstdpar-interpose-alloc,always-inline,0.001534750,0.001497710,0.024133958,"module(hipstdpar-interpose-alloc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,hipstdpar-math-fixup,always-inline,0.001534750,0.001505533,0.019037115,"module(hipstdpar-math-fixup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,hotcoldsplit,always-inline,0.001534750,0.001503219,0.020544711,"module(hotcoldsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,lower-ifunc,always-inline,0.001534750,0.001505457,0.019086667,"module(lower-ifunc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,lowertypetests,always-inline,0.001534750,0.001512791,0.014307641,"module(lowertypetests,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,module-inline,always-inline,0.001534750,0.001452762,0.053421139,"module(module-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,name-anon-globals,always-inline,0.001534750,0.001493490,0.026883876,"module(name-anon-globals,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,pre-isel-intrinsic-lowering,always-inline,0.001534750,0.001492660,0.027424453,"module(pre-isel-intrinsic-lowering,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,scc-oz-module-inliner,always-inline,0.001534750,0.001500130,0.022557340,"module(scc-oz-module-inliner,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,shadow-stack-gc-lowering,always-inline,0.001534750,0.001470645,0.041768733,"module(shadow-stack-gc-lowering,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,strip-dead-prototypes,always-inline,0.001534750,0.001470666,0.041755191,"module(strip-dead-prototypes,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,strip-debug-declare,always-inline,0.001534750,0.001482264,0.034198376,"module(strip-debug-declare,always-inline)"
