filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,always-inline,always-inline,0.001626653,0.001590182,0.022420642,"module(always-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,assign-guid,always-inline,0.001626653,0.001581635,0.027674857,"module(assign-guid,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,attributor-light,always-inline,0.001626653,0.001554425,0.044402438,"module(attributor-light,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,called-value-propagation,always-inline,0.001626653,0.001593502,0.020379717,"module(called-value-propagation,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,coro-cleanup,always-inline,0.001626653,0.001548256,0.048195220,"module(coro-cleanup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,coro-early,always-inline,0.001626653,0.001574011,0.032361714,"module(coro-early,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,cross-dso-cfi,always-inline,0.001626653,0.001539534,0.053557108,"module(cross-dso-cfi,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,noinline-nonprevailing,always-inline,0.001626653,0.001534394,0.056717078,"module(noinline-nonprevailing,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,deadargelim,always-inline,0.001626653,0.001583597,0.026468837,"module(deadargelim,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,declare-runtime-libcalls,always-inline,0.001626653,0.001543652,0.051025357,"module(declare-runtime-libcalls,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,dxil-upgrade,always-inline,0.001626653,0.001599673,0.016586202,"module(dxil-upgrade,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,elim-avail-extern,always-inline,0.001626653,0.001534515,0.056642285,"module(elim-avail-extern,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,extract-blocks,always-inline,0.001626653,0.001590439,0.022262356,"module(extract-blocks,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,expand-variadics,always-inline,0.001626653,0.001587620,0.023995463,"module(expand-variadics,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,forceattrs,always-inline,0.001626653,0.001517261,0.067249700,"module(forceattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,global-merge-func,always-inline,0.001626653,0.001605493,0.013008076,"module(global-merge-func,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,globalopt,always-inline,0.001626653,0.001552832,0.045382008,"module(globalopt,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,globalsplit,always-inline,0.001626653,0.001568361,0.035835162,"module(globalsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,hipstdpar-interpose-alloc,always-inline,0.001626653,0.001567731,0.036222873,"module(hipstdpar-interpose-alloc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,hotcoldsplit,always-inline,0.001626653,0.001572792,0.033111402,"module(hotcoldsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,inferattrs,always-inline,0.001626653,0.001559378,0.041357552,"module(inferattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,inliner-wrapper-no-mandatory-first,always-inline,0.001626653,0.001533024,0.057558992,"module(inliner-wrapper-no-mandatory-first,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,jmc-instrumenter,always-inline,0.001626653,0.001554817,0.044161778,"module(jmc-instrumenter,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,lower-ifunc,always-inline,0.001626653,0.001503989,0.075408456,"module(lower-ifunc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,lowertypetests,always-inline,0.001626653,0.001599130,0.016919870,"module(lowertypetests,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,name-anon-globals,always-inline,0.001626653,0.001559607,0.041216928,"module(name-anon-globals,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,openmp-opt,always-inline,0.001626653,0.001600970,0.015788514,"module(openmp-opt,always-inline)"
