filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,dxil-upgrade,always-inline,0.001719748,0.001661849,0.033667019,"module(dxil-upgrade,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,expand-variadics,always-inline,0.001719748,0.001700976,0.010915909,"module(expand-variadics,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,forceattrs,always-inline,0.001719748,0.001670455,0.028662959,"module(forceattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,globalopt,always-inline,0.001719748,0.001698278,0.012484569,"module(globalopt,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,strip-nonlinetable-debuginfo,always-inline,0.001719748,0.001678355,0.024069226,"module(strip-nonlinetable-debuginfo,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,strip-dead-cg-profile,always-inline,0.001719748,0.001649122,0.041067523,"module(strip-dead-cg-profile,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,cg-profile,always-inline,0.001719748,0.001673539,0.026869935,"module(cg-profile,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,cgscc(argpromotion),always-inline,0.001719748,0.001688535,0.018149770,"module(cgscc(argpromotion),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,cgscc(openmp-opt-cgscc),always-inline,0.001719748,0.001693657,0.015171780,"module(cgscc(openmp-opt-cgscc),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(alignment-from-assumptions),always-inline,0.001719748,0.001688091,0.018407997,"module(function(alignment-from-assumptions),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(annotation-remarks),always-inline,0.001719748,0.001659191,0.035212772,"module(function(annotation-remarks),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(assume-builder),always-inline,0.001719748,0.001616316,0.060143767,"module(function(assume-builder),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(bdce),always-inline,0.001719748,0.001663194,0.032885298,"module(function(bdce),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(break-crit-edges),always-inline,0.001719748,0.001627638,0.053560464,"module(function(break-crit-edges),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(declare-to-assign),always-inline,0.001719748,0.001609434,0.064145766,"module(function(declare-to-assign),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(dfa-jump-threading),always-inline,0.001719748,0.001619595,0.058236951,"module(function(dfa-jump-threading),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(div-rem-pairs),always-inline,0.001719748,0.001536350,0.106642223,"module(function(div-rem-pairs),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(dwarf-eh-prepare),always-inline,0.001719748,0.001616991,0.059751102,"module(function(dwarf-eh-prepare),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(expand-large-div-rem),always-inline,0.001719748,0.001601215,0.068924632,"module(function(expand-large-div-rem),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(expand-reductions),always-inline,0.001719748,0.001686650,0.019245731,"module(function(expand-reductions),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(extra-vector-passes),always-inline,0.001719748,0.001686284,0.019458930,"module(function(extra-vector-passes),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(flatten-cfg),always-inline,0.001719748,0.001594736,0.072692295,"module(function(flatten-cfg),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(float2int),always-inline,0.001719748,0.001626347,0.054310856,"module(function(float2int),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(gc-lowering),always-inline,0.001719748,0.001555707,0.095386546,"module(function(gc-lowering),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(guard-widening),always-inline,0.001719748,0.001565969,0.089419872,"module(function(guard-widening),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(loop-versioning),always-inline,0.001719748,0.001665380,0.031614192,"module(function(loop-versioning),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,function(lower-atomic),always-inline,0.001719748,0.001695567,0.014060643,"module(function(lower-atomic),always-inline)"
