filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,always-inline,annotation2metadata,0.002163543,0.001835717,0.151522591,"module(always-inline,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,annotation2metadata,annotation2metadata,0.002163543,0.002061691,0.047076357,"module(annotation2metadata,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,assign-guid,annotation2metadata,0.002163543,0.002103606,0.027702992,"module(assign-guid,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,attributor-light,annotation2metadata,0.002163543,0.002138916,0.011382896,"module(attributor-light,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,called-value-propagation,annotation2metadata,0.002163543,0.002064549,0.045755536,"module(called-value-propagation,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,canonicalize-aliases,annotation2metadata,0.002163543,0.002005809,0.072905611,"module(canonicalize-aliases,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,constmerge,annotation2metadata,0.002163543,0.002141774,0.010061950,"module(constmerge,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,coro-cleanup,annotation2metadata,0.002163543,0.001840943,0.149107182,"module(coro-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,coro-early,annotation2metadata,0.002163543,0.001765972,0.183759195,"module(coro-early,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,cross-dso-cfi,annotation2metadata,0.002163543,0.001734650,0.198236301,"module(cross-dso-cfi,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,ctx-prof-flatten,annotation2metadata,0.002163543,0.001966644,0.091007497,"module(ctx-prof-flatten,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,noinline-nonprevailing,annotation2metadata,0.002163543,0.001878436,0.131777649,"module(noinline-nonprevailing,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,deadargelim,annotation2metadata,0.002163543,0.001892188,0.125421418,"module(deadargelim,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,declare-runtime-libcalls,annotation2metadata,0.002163543,0.001974508,0.087372820,"module(declare-runtime-libcalls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,dxil-upgrade,annotation2metadata,0.002163543,0.002132553,0.014323822,"module(dxil-upgrade,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,extract-blocks,annotation2metadata,0.002163543,0.002009901,0.071013923,"module(extract-blocks,annotation2metadata)"
