filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,dxil-upgrade,attributor-light,0.001609274,0.001569060,0.024988665,"module(dxil-upgrade,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,elim-avail-extern,attributor-light,0.001609274,0.001473219,0.084543982,"module(elim-avail-extern,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,extract-blocks,attributor-light,0.001609274,0.001579092,0.018754898,"module(extract-blocks,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,expand-variadics,attributor-light,0.001609274,0.001512714,0.060001933,"module(expand-variadics,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,forceattrs,attributor-light,0.001609274,0.001516496,0.057651930,"module(forceattrs,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,lower-emutls,attributor-light,0.001609274,0.001522398,0.053984069,"module(lower-emutls,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,wholeprogramdevirt,attributor-light,0.001609274,0.001557146,0.032392241,"module(wholeprogramdevirt,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(loop(loop-idiom-vectorize)),attributor-light,0.001609274,0.001541204,0.042298630,"module(function(loop(loop-idiom-vectorize)),attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,always-inline,extract-blocks,0.001661838,0.001530764,0.078872704,"module(always-inline,extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,assign-guid,extract-blocks,0.001661838,0.001507545,0.092844579,"module(assign-guid,extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,attributor-light,extract-blocks,0.001661838,0.001642584,0.011586069,"module(attributor-light,extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(wasm-eh-prepare),extract-blocks,0.001661838,0.001602305,0.035823806,"module(function(wasm-eh-prepare),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(cfguard),extract-blocks,0.001661838,0.001626519,0.021253292,"module(function(cfguard),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(gvn),extract-blocks,0.001661838,0.001619874,0.025251755,"module(function(gvn),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(hardware-loops),extract-blocks,0.001661838,0.001541460,0.072436654,"module(function(hardware-loops),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(sroa),extract-blocks,0.001661838,0.001634645,0.016363457,"module(function(sroa),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(loop(extra-simple-loop-unswitch-passes)),extract-blocks,0.001661838,0.001632519,0.017642788,"module(function(loop(extra-simple-loop-unswitch-passes)),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(loop(indvars)),extract-blocks,0.001661838,0.001619759,0.025320830,"module(function(loop(indvars)),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(loop(loop-bound-split)),extract-blocks,0.001661838,0.001597992,0.038418796,"module(function(loop(loop-bound-split)),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(loop(loop-unroll-full)),extract-blocks,0.001661838,0.001642710,0.011510248,"module(function(loop(loop-unroll-full)),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,function(loop(loop-versioning-licm)),extract-blocks,0.001661838,0.001634557,0.016416290,"module(function(loop(loop-versioning-licm)),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,always-inline,global-merge-func,0.001635122,0.001515984,0.072861700,"module(always-inline,global-merge-func)"
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,annotation2metadata,global-merge-func,0.001635122,0.001547163,0.053793559,"module(annotation2metadata,global-merge-func)"
