filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,constmerge,always-inline,0.001639494,0.001571396,0.041535960,"module(constmerge,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,dxil-upgrade,always-inline,0.001639494,0.001609089,0.018545595,"module(dxil-upgrade,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,forceattrs,always-inline,0.001639494,0.001591895,0.029033034,"module(forceattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,loop-extract,always-inline,0.001639494,0.001587025,0.032003463,"module(loop-extract,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,function(loop-simplify),always-inline,0.001639494,0.001622929,0.010103972,"module(function(loop-simplify),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,function(atomic-expand),jmc-instrumenter,0.001661009,0.001605358,0.033504112,"module(function(atomic-expand),jmc-instrumenter)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,function(callsite-splitting),jmc-instrumenter,0.001661009,0.001624044,0.022254114,"module(function(callsite-splitting),jmc-instrumenter)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,cgscc(coro-split),strip-dead-debug-info,0.001663818,0.001541154,0.073724525,"module(cgscc(coro-split),strip-dead-debug-info)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,function(assume-simplify),strip-dead-debug-info,0.001663818,0.001587501,0.045868544,"module(function(assume-simplify),strip-dead-debug-info)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,function(expand-memcmp),strip-dead-debug-info,0.001663818,0.001631215,0.019595104,"module(function(expand-memcmp),strip-dead-debug-info)"
