filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,lower-ifunc,coro-early,0.001698882,0.001646587,0.030781798,"module(lower-ifunc,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,simplify-type-tests,coro-early,0.001698882,0.001677783,0.012419190,"module(simplify-type-tests,coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,cgscc(openmp-opt-cgscc),coro-early,0.001698882,0.001614174,0.049861127,"module(cgscc(openmp-opt-cgscc),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,cgscc(coro-annotation-elide),coro-early,0.001698882,0.001676380,0.013244914,"module(cgscc(coro-annotation-elide),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,function(assume-builder),coro-early,0.001698882,0.001615461,0.049103093,"module(function(assume-builder),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,function(callsite-splitting),coro-early,0.001698882,0.001659009,0.023470221,"module(function(callsite-splitting),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,function(mem2reg),coro-early,0.001698882,0.001651393,0.027952928,"module(function(mem2reg),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,function(lower-allow-check),coro-early,0.001698882,0.001632136,0.039288006,"module(function(lower-allow-check),coro-early)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,cross-dso-cfi,cross-dso-cfi,0.001659144,0.001616772,0.025538211,"module(cross-dso-cfi,cross-dso-cfi)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,ctx-prof-flatten,cross-dso-cfi,0.001659144,0.001455511,0.122733569,"module(ctx-prof-flatten,cross-dso-cfi)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,noinline-nonprevailing,cross-dso-cfi,0.001659144,0.001499965,0.095940106,"module(noinline-nonprevailing,cross-dso-cfi)"
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,deadargelim,cross-dso-cfi,0.001659144,0.001601114,0.034975561,"module(deadargelim,cross-dso-cfi)"
