filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,always-inline,always-inline,0.001914015,0.001779967,0.070035183,"module(always-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,annotation2metadata,always-inline,0.001914015,0.001795041,0.062159363,"module(annotation2metadata,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,assign-guid,always-inline,0.001914015,0.001763406,0.078687275,"module(assign-guid,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,attributor-light,always-inline,0.001914015,0.001708341,0.107457090,"module(attributor-light,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,called-value-propagation,always-inline,0.001914015,0.001830453,0.043658048,"module(called-value-propagation,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,cross-dso-cfi,always-inline,0.001914015,0.001873952,0.020931296,"module(cross-dso-cfi,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,dxil-upgrade,always-inline,0.001914015,0.001853116,0.031817235,"module(dxil-upgrade,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,extract-blocks,always-inline,0.001914015,0.001796694,0.061295916,"module(extract-blocks,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,hotcoldsplit,always-inline,0.001914015,0.001715936,0.103489000,"module(hotcoldsplit,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,inferattrs,always-inline,0.001914015,0.001884288,0.015531167,"module(inferattrs,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,inliner-wrapper-no-mandatory-first,always-inline,0.001914015,0.001890861,0.012097228,"module(inliner-wrapper-no-mandatory-first,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,lower-global-dtors,always-inline,0.001914015,0.001889272,0.012927475,"module(lower-global-dtors,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,fatlto-cleanup,always-inline,0.001914015,0.001744260,0.088690751,"module(fatlto-cleanup,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,mergefunc,always-inline,0.001914015,0.001717177,0.102840566,"module(mergefunc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,module-inline,always-inline,0.001914015,0.001854341,0.031177595,"module(module-inline,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,pre-isel-intrinsic-lowering,always-inline,0.001914015,0.001807306,0.055751413,"module(pre-isel-intrinsic-lowering,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,recompute-globalsaa,always-inline,0.001914015,0.001651150,0.137337119,"module(recompute-globalsaa,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,rel-lookup-table-converter,always-inline,0.001914015,0.001577663,0.175731294,"module(rel-lookup-table-converter,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,rewrite-statepoints-for-gc,always-inline,0.001914015,0.001735847,0.093085981,"module(rewrite-statepoints-for-gc,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,strip-nondebug,always-inline,0.001914015,0.001711818,0.105640247,"module(strip-nondebug,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,strip-nonlinetable-debuginfo,always-inline,0.001914015,0.001704744,0.109336280,"module(strip-nonlinetable-debuginfo,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,strip-dead-cg-profile,always-inline,0.001914015,0.001737452,0.092247329,"module(strip-dead-cg-profile,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,wholeprogramdevirt,always-inline,0.001914015,0.001768902,0.075815816,"module(wholeprogramdevirt,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,cg-profile,always-inline,0.001914015,0.001853488,0.031623139,"module(cg-profile,always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(assume-simplify),always-inline,0.001914015,0.001814333,0.052079879,"module(function(assume-simplify),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(atomic-expand),always-inline,0.001914015,0.001869948,0.023023477,"module(function(atomic-expand),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(bdce),always-inline,0.001914015,0.001848240,0.034364900,"module(function(bdce),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(break-crit-edges),always-inline,0.001914015,0.001692168,0.115906677,"module(function(break-crit-edges),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(callbr-prepare),always-inline,0.001914015,0.001797228,0.061016866,"module(function(callbr-prepare),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(callsite-splitting),always-inline,0.001914015,0.001628394,0.149226190,"module(function(callsite-splitting),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(chr),always-inline,0.001914015,0.001711144,0.105992662,"module(function(chr),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(complex-deinterleaving),always-inline,0.001914015,0.001691225,0.116399573,"module(function(complex-deinterleaving),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(constraint-elimination),always-inline,0.001914015,0.001881925,0.016765677,"module(function(constraint-elimination),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(declare-to-assign),always-inline,0.001914015,0.001890548,0.012260871,"module(function(declare-to-assign),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(dfa-jump-threading),always-inline,0.001914015,0.001855652,0.030492535,"module(function(dfa-jump-threading),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(fix-irreducible),always-inline,0.001914015,0.001574255,0.177511632,"module(function(fix-irreducible),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(flatten-cfg),always-inline,0.001914015,0.001747305,0.087099602,"module(function(flatten-cfg),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(float2int),always-inline,0.001914015,0.001720578,0.101063293,"module(function(float2int),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(guard-widening),always-inline,0.001914015,0.001749429,0.085989736,"module(function(guard-widening),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(gvn-hoist),always-inline,0.001914015,0.001862570,0.026878253,"module(function(gvn-hoist),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(infer-address-spaces),always-inline,0.001914015,0.001592361,0.168052074,"module(function(infer-address-spaces),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(infer-alignment),always-inline,0.001914015,0.001807313,0.055747542,"module(function(infer-alignment),always-inline)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,function(instsimplify),always-inline,0.001914015,0.001822893,0.047607963,"module(function(instsimplify),always-inline)"
