filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,annotation2metadata,annotation2metadata,0.001868193,0.001833248,0.018705017,"module(annotation2metadata,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,declare-runtime-libcalls,annotation2metadata,0.001868193,0.001745762,0.065534594,"module(declare-runtime-libcalls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,dxil-upgrade,annotation2metadata,0.001868193,0.001661035,0.110886771,"module(dxil-upgrade,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,extract-blocks,annotation2metadata,0.001868193,0.001644828,0.119561874,"module(extract-blocks,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,globalopt,annotation2metadata,0.001868193,0.001841421,0.014330591,"module(globalopt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,globalsplit,annotation2metadata,0.001868193,0.001836887,0.016757126,"module(globalsplit,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,hipstdpar-interpose-alloc,annotation2metadata,0.001868193,0.001621092,0.132267297,"module(hipstdpar-interpose-alloc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,fatlto-cleanup,annotation2metadata,0.001868193,0.001824735,0.023262265,"module(fatlto-cleanup,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,mergefunc,annotation2metadata,0.001868193,0.001750962,0.062751230,"module(mergefunc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,name-anon-globals,annotation2metadata,0.001868193,0.001818575,0.026559320,"module(name-anon-globals,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,rewrite-statepoints-for-gc,annotation2metadata,0.001868193,0.001772729,0.051099867,"module(rewrite-statepoints-for-gc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,scc-oz-module-inliner,annotation2metadata,0.001868193,0.001834008,0.018298371,"module(scc-oz-module-inliner,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,shadow-stack-gc-lowering,annotation2metadata,0.001868193,0.001776434,0.049116658,"module(shadow-stack-gc-lowering,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,strip,annotation2metadata,0.001868193,0.001790789,0.041432646,"module(strip,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,strip-debug-declare,annotation2metadata,0.001868193,0.001740890,0.068142326,"module(strip-debug-declare,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,strip-nondebug,annotation2metadata,0.001868193,0.001698675,0.090738806,"module(strip-nondebug,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,strip-dead-cg-profile,annotation2metadata,0.001868193,0.001721199,0.078682328,"module(strip-dead-cg-profile,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,wholeprogramdevirt,annotation2metadata,0.001868193,0.001674513,0.103672235,"module(wholeprogramdevirt,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,cg-profile,annotation2metadata,0.001868193,0.001711633,0.083803004,"module(cg-profile,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,embed-bitcode,annotation2metadata,0.001868193,0.001815474,0.028219002,"module(embed-bitcode,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,globaldce,annotation2metadata,0.001868193,0.001664622,0.108966569,"module(globaldce,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,loop-extract,annotation2metadata,0.001868193,0.001784397,0.044853814,"module(loop-extract,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,cgscc(function-attrs),annotation2metadata,0.001868193,0.001769586,0.052781861,"module(cgscc(function-attrs),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,cgscc(inline),annotation2metadata,0.001868193,0.001704824,0.087447567,"module(cgscc(inline),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(add-discriminators),annotation2metadata,0.001868193,0.001735619,0.070963972,"module(function(add-discriminators),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(alignment-from-assumptions),annotation2metadata,0.001868193,0.001751336,0.062551009,"module(function(alignment-from-assumptions),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(assume-builder),annotation2metadata,0.001868193,0.001846258,0.011741341,"module(function(assume-builder),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(callsite-splitting),annotation2metadata,0.001868193,0.001614903,0.135579947,"module(function(callsite-splitting),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(complex-deinterleaving),annotation2metadata,0.001868193,0.001842576,0.013712158,"module(function(complex-deinterleaving),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(instnamer),annotation2metadata,0.001868193,0.001832269,0.019229104,"module(function(instnamer),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(lower-invoke),annotation2metadata,0.001868193,0.001737264,0.070083272,"module(function(lower-invoke),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(lower-switch),annotation2metadata,0.001868193,0.001821539,0.024972583,"module(function(lower-switch),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(newgvn),annotation2metadata,0.001868193,0.001841581,0.014244614,"module(function(newgvn),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(partially-inline-libcalls),annotation2metadata,0.001868193,0.001709708,0.084833166,"module(function(partially-inline-libcalls),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy_if.pass_-O2.ll,0.001987321,function(place-safepoints),annotation2metadata,0.001868193,0.001638438,0.122982387,"module(function(place-safepoints),annotation2metadata)"
