filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,attributor-light,annotation2metadata,0.001714358,0.001624099,0.052648766,"module(attributor-light,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,rel-lookup-table-converter,annotation2metadata,0.001714358,0.001666160,0.028114577,"module(rel-lookup-table-converter,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,rewrite-statepoints-for-gc,annotation2metadata,0.001714358,0.001658169,0.032775514,"module(rewrite-statepoints-for-gc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,rewrite-symbols,annotation2metadata,0.001714358,0.001613093,0.059068808,"module(rewrite-symbols,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,cgscc(coro-split),annotation2metadata,0.001714358,0.001635816,0.045814210,"module(cgscc(coro-split),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,cgscc(inline),annotation2metadata,0.001714358,0.001652443,0.036115752,"module(cgscc(inline),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(assume-simplify),annotation2metadata,0.001714358,0.001628829,0.049889860,"module(function(assume-simplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(atomic-expand),annotation2metadata,0.001714358,0.001588923,0.073167498,"module(function(atomic-expand),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(infer-address-spaces),annotation2metadata,0.001714358,0.001687555,0.015634483,"module(function(infer-address-spaces),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(safe-stack),annotation2metadata,0.001714358,0.001688241,0.015234138,"module(function(safe-stack),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(sandbox-vectorizer),annotation2metadata,0.001714358,0.001643884,0.041107871,"module(function(sandbox-vectorizer),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(slsr),annotation2metadata,0.001714358,0.001515317,0.116102115,"module(function(slsr),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(stack-protector),annotation2metadata,0.001714358,0.001586060,0.074837075,"module(function(stack-protector),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(strip-gc-relocates),annotation2metadata,0.001714358,0.001646758,0.039431877,"module(function(strip-gc-relocates),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(tailcallelim),annotation2metadata,0.001714358,0.001593405,0.070552887,"module(function(tailcallelim),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(transform-warning),annotation2metadata,0.001714358,0.001637100,0.045065274,"module(function(transform-warning),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(typepromotion),annotation2metadata,0.001714358,0.001684459,0.017440292,"module(function(typepromotion),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(vector-combine),annotation2metadata,0.001714358,0.001604964,0.063810507,"module(function(vector-combine),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(wasm-eh-prepare),annotation2metadata,0.001714358,0.001582249,0.077060104,"module(function(wasm-eh-prepare),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(cfguard),annotation2metadata,0.001714358,0.001695085,0.011242196,"module(function(cfguard),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(ee-instrument),annotation2metadata,0.001714358,0.001547148,0.097535158,"module(function(ee-instrument),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(gvn),annotation2metadata,0.001714358,0.001590404,0.072303465,"module(function(gvn),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(annotation-remarks),assign-guid,0.001688979,0.001648936,0.023708388,"module(function(annotation-remarks),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(coro-elide),assign-guid,0.001688979,0.001654453,0.020442154,"module(function(coro-elide),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(correlated-propagation),assign-guid,0.001688979,0.001658230,0.018205858,"module(function(correlated-propagation),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(infer-alignment),assign-guid,0.001688979,0.001533600,0.091996063,"module(function(infer-alignment),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(inject-tli-mappings),assign-guid,0.001688979,0.001624476,0.038190551,"module(function(inject-tli-mappings),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,function(loop(loop-rotate)),assign-guid,0.001688979,0.001668421,0.012172126,"module(function(loop(loop-rotate)),assign-guid)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,called-value-propagation,attributor-light,0.001776672,0.001693991,0.046536832,"module(called-value-propagation,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,constmerge,attributor-light,0.001776672,0.001748483,0.015866151,"module(constmerge,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,dxil-upgrade,attributor-light,0.001776672,0.001734556,0.023704919,"module(dxil-upgrade,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,elim-avail-extern,attributor-light,0.001776672,0.001698539,0.043977028,"module(elim-avail-extern,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,expand-variadics,attributor-light,0.001776672,0.001672113,0.058851054,"module(expand-variadics,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,lower-emutls,attributor-light,0.001776672,0.001698932,0.043755825,"module(lower-emutls,attributor-light)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,lower-ifunc,attributor-light,0.001776672,0.001642169,0.075704661,"module(lower-ifunc,attributor-light)"
