filename,baseline_sec,action1,action2,action2_sec,pair_sec,speedup_vs_action2,pipeline
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,hipstdpar-interpose-alloc,annotation2metadata,0.001712585,0.001677877,0.020266333,"module(hipstdpar-interpose-alloc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,hotcoldsplit,annotation2metadata,0.001712585,0.001689667,0.013382028,"module(hotcoldsplit,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,inferattrs,annotation2metadata,0.001712585,0.001690119,0.013117977,"module(inferattrs,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,inliner-wrapper,annotation2metadata,0.001712585,0.001587379,0.073109280,"module(inliner-wrapper,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,inliner-wrapper-no-mandatory-first,annotation2metadata,0.001712585,0.001608493,0.060780766,"module(inliner-wrapper-no-mandatory-first,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,jmc-instrumenter,annotation2metadata,0.001712585,0.001677193,0.020665920,"module(jmc-instrumenter,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,lower-emutls,annotation2metadata,0.001712585,0.001627813,0.049499448,"module(lower-emutls,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,lower-ifunc,annotation2metadata,0.001712585,0.001679144,0.019526542,"module(lower-ifunc,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,simplify-type-tests,annotation2metadata,0.001712585,0.001620111,0.053996456,"module(simplify-type-tests,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,strip,annotation2metadata,0.001712585,0.001648571,0.037378244,"module(strip,annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(load-store-vectorizer),annotation2metadata,0.001712585,0.001605501,0.062527759,"module(function(load-store-vectorizer),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(loop-simplify),annotation2metadata,0.001712585,0.001624827,0.051242963,"module(function(loop-simplify),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(lower-switch),annotation2metadata,0.001712585,0.001637717,0.043716495,"module(function(lower-switch),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(make-guards-explicit),annotation2metadata,0.001712585,0.001666020,0.027189857,"module(function(make-guards-explicit),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(mergereturn),annotation2metadata,0.001712585,0.001622337,0.052696649,"module(function(mergereturn),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(nary-reassociate),annotation2metadata,0.001712585,0.001695019,0.010257242,"module(function(nary-reassociate),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(objc-arc-contract),annotation2metadata,0.001712585,0.001630694,0.047817253,"module(function(objc-arc-contract),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(prof-inject),annotation2metadata,0.001712585,0.001642244,0.041073080,"module(function(prof-inject),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(reg2mem),annotation2metadata,0.001712585,0.001653629,0.034424907,"module(function(reg2mem),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(lower-matrix-intrinsics),annotation2metadata,0.001712585,0.001584989,0.074505148,"module(function(lower-matrix-intrinsics),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(loop(loop-rotate)),annotation2metadata,0.001712585,0.001615037,0.056959523,"module(function(loop(loop-rotate)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(loop(simple-loop-unswitch)),annotation2metadata,0.001712585,0.001663700,0.028544344,"module(function(loop(simple-loop-unswitch)),annotation2metadata)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,noinline-nonprevailing,extract-blocks,0.001670239,0.001579809,0.054142042,"module(noinline-nonprevailing,extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,openmp-opt,extract-blocks,0.001670239,0.001635256,0.020944984,"module(openmp-opt,extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,globaldce,extract-blocks,0.001670239,0.001625765,0.026627063,"module(globaldce,extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,loop-extract,extract-blocks,0.001670239,0.001614062,0.033633919,"module(loop-extract,extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,cgscc(attributor-light-cgscc),extract-blocks,0.001670239,0.001643969,0.015727856,"module(cgscc(attributor-light-cgscc),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,cgscc(coro-annotation-elide),extract-blocks,0.001670239,0.001632155,0.022801178,"module(cgscc(coro-annotation-elide),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(dse),extract-blocks,0.001670239,0.001614602,0.033310675,"module(function(dse),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(expand-large-div-rem),extract-blocks,0.001670239,0.001580935,0.053467492,"module(function(expand-large-div-rem),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(jump-threading),extract-blocks,0.001670239,0.001651998,0.010921075,"module(function(jump-threading),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(lcssa),extract-blocks,0.001670239,0.001616722,0.032041141,"module(function(lcssa),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(loop-data-prefetch),extract-blocks,0.001670239,0.001614948,0.033103294,"module(function(loop-data-prefetch),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(lower-atomic),extract-blocks,0.001670239,0.001615735,0.032632435,"module(function(lower-atomic),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(slp-vectorizer),extract-blocks,0.001670239,0.001639906,0.018160596,"module(function(slp-vectorizer),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(transform-warning),extract-blocks,0.001670239,0.001602921,0.040304506,"module(function(transform-warning),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(loop(loop-idiom-vectorize)),extract-blocks,0.001670239,0.001643473,0.016025081,"module(function(loop(loop-idiom-vectorize)),extract-blocks)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,expand-variadics,inferattrs,0.001712243,0.001686628,0.014959595,"module(expand-variadics,inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,globalsplit,inferattrs,0.001712243,0.001611862,0.058625535,"module(globalsplit,inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,hotcoldsplit,inferattrs,0.001712243,0.001646652,0.038307251,"module(hotcoldsplit,inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,cgscc(inline),inferattrs,0.001712243,0.001686381,0.015103900,"module(cgscc(inline),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(add-discriminators),inferattrs,0.001712243,0.001661633,0.029557672,"module(function(add-discriminators),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(bdce),inferattrs,0.001712243,0.001681335,0.018050876,"module(function(bdce),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(div-rem-pairs),inferattrs,0.001712243,0.001667086,0.026372987,"module(function(div-rem-pairs),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(dse),inferattrs,0.001712243,0.001657796,0.031798596,"module(function(dse),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(dwarf-eh-prepare),inferattrs,0.001712243,0.001694233,0.010518570,"module(function(dwarf-eh-prepare),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(expand-memcmp),inferattrs,0.001712243,0.001677554,0.020259417,"module(function(expand-memcmp),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(expand-reductions),inferattrs,0.001712243,0.001668448,0.025577468,"module(function(expand-reductions),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(flatten-cfg),inferattrs,0.001712243,0.001653499,0.034308176,"module(function(flatten-cfg),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(loop-distribute),inferattrs,0.001712243,0.001659336,0.030898897,"module(function(loop-distribute),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(loop-simplify),inferattrs,0.001712243,0.001636317,0.044342678,"module(function(loop-simplify),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(lower-widenable-condition),inferattrs,0.001712243,0.001651556,0.035443159,"module(function(lower-widenable-condition),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(make-guards-explicit),inferattrs,0.001712243,0.001653599,0.034249683,"module(function(make-guards-explicit),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(mergereturn),inferattrs,0.001712243,0.001589602,0.071625707,"module(function(mergereturn),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(newgvn),inferattrs,0.001712243,0.001619366,0.054242916,"module(function(newgvn),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(objc-arc),inferattrs,0.001712243,0.001646345,0.038486060,"module(function(objc-arc),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(objc-arc-contract),inferattrs,0.001712243,0.001690978,0.012419075,"module(function(objc-arc-contract),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(prof-inject),inferattrs,0.001712243,0.001601127,0.064895042,"module(function(prof-inject),inferattrs)"
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,function(reassociate),inferattrs,0.001712243,0.001613861,0.057457876,"module(function(reassociate),inferattrs)"
