action1,action2,benchmark_count,record_count,avg_speedup_vs_action2,min_speedup_vs_action2,max_speedup_vs_action2
function(lower-switch),annotation2metadata,33,33,0.133162618,0.010883702,0.409520298
function(loop(loop-deletion)),annotation2metadata,33,33,0.120989215,0.011561015,0.369072469
function(loop(canon-freeze)),annotation2metadata,33,33,0.112434986,0.011260772,0.389504547
ipsccp,annotation2metadata,32,32,0.129059582,0.010284683,0.402896958
function(gvn),annotation2metadata,32,32,0.118372964,0.013003421,0.406149256
function(slsr),function(loop(loop-term-fold)),32,32,0.107753156,0.012294988,0.276660161
function(mldst-motion),function(loop(loop-term-fold)),32,32,0.097379938,0.010746027,0.273846067
lowertypetests,function(loop(loop-bound-split)),32,32,0.088293723,0.013486148,0.334528524
mergefunc,function(loop(loop-bound-split)),32,32,0.085596786,0.012768158,0.348672437
partial-inliner,function(slp-vectorizer),32,32,0.084853266,0.012877575,0.221306665
lower-global-dtors,function(slp-vectorizer),32,32,0.084569090,0.013038308,0.255746933
hipstdpar-math-fixup,function(loop(indvars)),32,32,0.083865284,0.010213193,0.314944439
mergefunc,function(slp-vectorizer),32,32,0.079606998,0.011746991,0.262750220
function(loop(loop-rotate)),annotation2metadata,31,31,0.130884850,0.012674848,0.348144149
cross-dso-cfi,annotation2metadata,31,31,0.127396349,0.012658820,0.439319553
function(loop-simplify),annotation2metadata,31,31,0.126740357,0.010216742,0.343705145
jmc-instrumenter,annotation2metadata,31,31,0.122589051,0.010498865,0.423901449
hipstdpar-interpose-alloc,canonicalize-aliases,31,31,0.122501109,0.010496761,0.393989202
cgscc(attributor-light-cgscc),inliner-wrapper-no-mandatory-first,31,31,0.118450396,0.011461788,0.323452411
function(lower-widenable-condition),function(loop(loop-term-fold)),31,31,0.109614941,0.012478631,0.312236422
function(stack-protector),function(loop(loop-term-fold)),31,31,0.108531241,0.012303921,0.262111797
function(speculative-execution),function(loop(loop-term-fold)),31,31,0.100381222,0.012890467,0.261473881
hipstdpar-math-fixup,function(loop(loop-reduce)),31,31,0.099190427,0.013444140,0.256984173
function(newgvn),function(loop(indvars)),31,31,0.096060788,0.010331480,0.329146307
function(loop(extra-simple-loop-unswitch-passes)),function(loop(guard-widening)),31,31,0.094668552,0.010495560,0.251867798
recompute-globalsaa,function(loop(loop-bound-split)),31,31,0.094098667,0.016562143,0.335192295
jmc-instrumenter,function(loop(loop-bound-split)),31,31,0.091252043,0.012674175,0.324442231
strip-debug-declare,function(loop(loop-bound-split)),31,31,0.089234018,0.011880601,0.332450823
inliner-wrapper-no-mandatory-first,function(loop(loop-bound-split)),31,31,0.083553055,0.014341256,0.326630302
function(early-cse),function(typepromotion),31,31,0.082879568,0.010809438,0.264467538
rpo-function-attrs,function(loop(indvars)),31,31,0.082641054,0.011402024,0.314714587
function(kernel-info),function(slp-vectorizer),31,31,0.082108109,0.010185054,0.292503469
function(expand-memcmp),function(loop-unroll),31,31,0.079073552,0.010943745,0.257405191
lowertypetests,function(slp-vectorizer),31,31,0.073953540,0.010186835,0.263152497
simplify-type-tests,function(loop-distribute),31,31,0.066156666,0.010263385,0.187496711
cgscc(attributor-light-cgscc),noinline-nonprevailing,30,30,0.146056323,0.010240639,0.440241059
lower-global-dtors,annotation2metadata,30,30,0.138382758,0.014154181,0.434540982
cgscc(inline),annotation2metadata,30,30,0.138241283,0.010385257,0.434833260
function(move-auto-init),annotation2metadata,30,30,0.134816573,0.011098042,0.389141959
function(objc-arc),annotation2metadata,30,30,0.132221112,0.012677594,0.423259748
globalopt,annotation2metadata,30,30,0.131317474,0.010689715,0.420986755
function(early-cse),annotation2metadata,30,30,0.128898973,0.010879643,0.414054125
forceattrs,assign-guid,30,30,0.125689981,0.014297547,0.349964542
function(loop(simple-loop-unswitch)),function(loop(loop-deletion)),30,30,0.122661281,0.011323781,0.317420176
function(loop(guard-widening)),annotation2metadata,30,30,0.121788537,0.011250299,0.392140811
function(loop(loop-predication)),annotation2metadata,30,30,0.121040972,0.010490606,0.354097661
function(instsimplify),function(loop(loop-term-fold)),30,30,0.116476592,0.031197183,0.298436505
function(guard-widening),function(loop(loop-term-fold)),30,30,0.115650928,0.010754714,0.229459411
function(extra-vector-passes),function(loop(loop-term-fold)),30,30,0.115276967,0.013098316,0.285555729
function(mem2reg),function(loop(loop-term-fold)),30,30,0.112593804,0.014107579,0.325244221
function(loop(guard-widening)),function(loop(loop-deletion)),30,30,0.111976451,0.010751176,0.319970562
function(lower-expect),assign-guid,30,30,0.111723155,0.013403299,0.323475330
function(loop(indvars)),annotation2metadata,30,30,0.110811026,0.011194957,0.365958320
function(indirectbr-expand),function(loop(loop-term-fold)),30,30,0.110701146,0.013982599,0.271000444
partial-inliner,function(loop(loop-deletion)),30,30,0.110571311,0.010279880,0.276446659
function(strip-gc-relocates),function(loop(loop-term-fold)),30,30,0.110022776,0.014101439,0.271525127
global-merge-func,function(loop(loop-reduce)),30,30,0.109972204,0.012323668,0.208618291
function(infer-address-spaces),annotation2metadata,30,30,0.109424072,0.014378143,0.360307051
function(loop(guard-widening)),function(loop(loop-term-fold)),30,30,0.108124485,0.012659085,0.268803668
function(coro-elide),function(loop(loop-deletion)),30,30,0.106626846,0.010410270,0.354755184
function(loop(loop-versioning-licm)),function(loop(loop-term-fold)),30,30,0.105758514,0.010103413,0.260543907
extract-blocks,function(loop(loop-reduce)),30,30,0.105725888,0.010791672,0.197959914
function(newgvn),function(typepromotion),30,30,0.104566269,0.010457963,0.305901514
function(win-eh-prepare),function(loop(loop-reduce)),30,30,0.104395798,0.017596624,0.212563832
hipstdpar-interpose-alloc,function(loop(loop-reduce)),30,30,0.102253914,0.010620510,0.250973680
function(kcfi),function(loop(loop-reduce)),30,30,0.102226361,0.010231401,0.230225854
function(declare-to-assign),function(loop(loop-reduce)),30,30,0.101689464,0.012292098,0.226959862
cg-profile,function(loop(loop-term-fold)),30,30,0.101531865,0.017152433,0.265936351
function(objc-arc-expand),function(loop(loop-deletion)),30,30,0.100946150,0.010436854,0.264674332
lower-global-dtors,function(loop(loop-versioning-licm)),30,30,0.100822926,0.013087072,0.199825281
function(loop-sink),function(loop(loop-reduce)),30,30,0.100677346,0.013115251,0.208568611
function(structurizecfg),function(loop(loop-reduce)),30,30,0.099939248,0.021290907,0.193171831
function(transform-warning),function(loop(loop-term-fold)),30,30,0.099913344,0.012181606,0.290397746
noinline-nonprevailing,function(loop(loop-term-fold)),30,30,0.098564741,0.012929691,0.288009280
function(flatten-cfg),function(typepromotion),30,30,0.098037787,0.017498602,0.286245719
function(simplifycfg),function(loop(loop-term-fold)),30,30,0.097131717,0.010386605,0.256276668
coro-cleanup,function(loop(loop-term-fold)),30,30,0.095978066,0.012228894,0.304667570
function(kcfi),function(slp-vectorizer),30,30,0.095233689,0.013289540,0.279145969
coro-early,function(loop-unroll),30,30,0.094597413,0.013355213,0.255455516
function(unreachableblockelim),function(loop(loop-predication)),30,30,0.094277397,0.012469747,0.218066957
mergefunc,function(loop(loop-deletion)),30,30,0.093784546,0.010375060,0.263192744
lower-ifunc,function(loop(loop-bound-split)),30,30,0.092939515,0.016241050,0.296981575
function(partially-inline-libcalls),function(typepromotion),30,30,0.092627838,0.010923150,0.286940641
strip-nondebug,function(typepromotion),30,30,0.092376145,0.010308750,0.286670608
function(objc-arc-contract),function(lower-matrix-intrinsics),30,30,0.092113706,0.010281946,0.248850263
lower-emutls,function(loop(indvars)),30,30,0.091910242,0.011632000,0.331597243
elim-avail-extern,function(loop(indvars)),30,30,0.090505040,0.013092567,0.289166838
function(lower-widenable-condition),function(slp-vectorizer),30,30,0.090348966,0.011967739,0.233900099
function(mem2reg),function(loop-unroll),30,30,0.090247802,0.015651184,0.201196922
strip-nonlinetable-debuginfo,function(loop(loop-bound-split)),30,30,0.088239150,0.016300751,0.338597809
function(div-rem-pairs),function(loop(loop-bound-split)),30,30,0.087970621,0.011171262,0.262813385
lower-global-dtors,function(loop(indvars)),30,30,0.087788387,0.012411437,0.287892526
cg-profile,function(loop-unroll),30,30,0.086995504,0.010529479,0.190784933
strip-nondebug,function(loop(loop-bound-split)),30,30,0.086702461,0.011616798,0.325016437
cgscc(inline),function(loop(loop-bound-split)),30,30,0.085472048,0.010486518,0.229129334
inliner-wrapper-no-mandatory-first,function(slp-vectorizer),30,30,0.084917526,0.014996920,0.256594503
function(unreachableblockelim),function(make-guards-explicit),30,30,0.083945467,0.010207998,0.281674908
function(complex-deinterleaving),function(loop-unroll),30,30,0.083885922,0.010665006,0.265053403
cgscc(coro-split),function(loop(loop-bound-split)),30,30,0.083317605,0.011137646,0.241456670
strip-dead-prototypes,function(loop(loop-bound-split)),30,30,0.083077093,0.012241421,0.311406234
function(make-guards-explicit),function(nary-reassociate),30,30,0.082777884,0.011090062,0.196893980
function(jump-threading),function(safe-stack),30,30,0.081114146,0.015886244,0.267383562
function(replace-with-veclib),function(loop(loop-bound-split)),30,30,0.080323860,0.010267583,0.261529986
function(mem2reg),function(loop-load-elim),30,30,0.078146721,0.010562691,0.302000029
function(interleaved-load-combine),function(slp-vectorizer),30,30,0.076892176,0.012219783,0.257324713
function(lower-matrix-intrinsics),noinline-nonprevailing,29,29,0.159374650,0.012091481,0.445646462
loop-extract,noinline-nonprevailing,29,29,0.157411348,0.010402042,0.416464440
loop-extract,annotation2metadata,29,29,0.148302450,0.013126201,0.441857593
function(lower-guard-intrinsic),ctx-prof-flatten,29,29,0.146034304,0.015113284,0.416226639
function(loop-data-prefetch),ctx-prof-flatten,29,29,0.144701149,0.010912375,0.363431700
function(mergereturn),annotation2metadata,29,29,0.142470302,0.013809150,0.378619059
hipstdpar-interpose-alloc,annotation2metadata,29,29,0.140555973,0.012922013,0.405104706
cgscc(openmp-opt-cgscc),annotation2metadata,29,29,0.139843316,0.014310566,0.419900312
partial-inliner,annotation2metadata,29,29,0.136684228,0.011692920,0.363787894
global-merge-func,global-merge-func,29,29,0.133818012,0.011372306,0.383300066
function(ee-instrument),annotation2metadata,29,29,0.133672411,0.019320875,0.416644497
inferattrs,annotation2metadata,29,29,0.133298953,0.013117977,0.424611345
coro-cleanup,annotation2metadata,29,29,0.129919636,0.010908753,0.408731806
declare-runtime-libcalls,annotation2metadata,29,29,0.127432745,0.010002308,0.416793626
inliner-wrapper-no-mandatory-first,annotation2metadata,29,29,0.127279164,0.011544755,0.409562506
function(loop(loop-instsimplify)),annotation2metadata,29,29,0.127113207,0.010222990,0.357230496
hotcoldsplit,annotation2metadata,29,29,0.123860170,0.013382028,0.434446387
